http://www.candidagenome.org/download/External_id_mappings/gp2protein.cgd.gz
CGDID	Uniprot
CAL0000174283	Q59KJ7
CAL0000198859	Q5ALV2
CAL0000179480	Q5AM80
CAL0000174293	Q5AK10
CAL0000197151	Q59RF7
CAL0000179486	P53697
CAL0000176016	Q59YD9
CAL0000191729	Q5AGC4
CAL0000182953	Q5A7S5
CAL0000176038	Q5A3Z6
CAL0000184706	P41797
CAL0000200704	Q5A7M3
CAL0000197175	Q59X40
CAL0000182961	Q5AGC1
CAL0000191743	Q59QC7
CAL0000188272	Q5ANI6
CAL0000177726	Q5AD67
CAL0000177730	Q5APD4
CAL0000191753	Q5ALN1
CAL0000182971	Q5A4N5
CAL0000200723	Q5AI71
CAL0000182977	Q9B8D2
CAL0000195338	Q5APC8
CAL0000197201	Q9UW13
CAL0000184734	Q5AG46
CAL0000200741	Q59P44
CAL0000189947	Q9Y7F0
CAL0000182989	Q5ADX5
CAL0000181303	Q59PP0
CAL0000198911	Q59NQ9
CAL0000191787	Q5ABV4
CAL0000200753	O94038
CAL0000181311	Q59U73
CAL0000177775	O74711
CAL0000186537	Q59LF9
CAL0000191797	Q5A748
CAL0000174369	Q9Y7F0
CAL0000181323	O59923
CAL0000197240	Q92207
CAL0000179551	Q59JU3
CAL0000183027	Q5AD73
CAL0000200763	Q5AAI8
CAL0000179560	Q59SN0
CAL0000198953	Q5AEK8
CAL0000193590	Q59K07
CAL0000189989	Q96W55
CAL0000181331	P84149
CAL0000188340	P28870
CAL0000176112	Q5AJU7
CAL0000191817	Q59W62
CAL0000179584	Q59Q39
CAL0000190005	Q5A5U4
CAL0000197264	Q5A895
CAL0000188346	Q59S43
CAL0000174399	Q5AHH4
CAL0000184778	Q5AH87
CAL0000190019	Q5ADQ0
CAL0000198973	Q59MI8
CAL0000188354	P39827
CAL0000186587	Q5AMN3
CAL0000184794	Q5A869
CAL0000179592	O94008
CAL0000176152	Q5APS5
CAL0000198993	Q5ABG1
CAL0000184804	Q5ACH7
CAL0000183063	Q59LQ5
CAL0000195449	Q5AK66
CAL0000193637	Q5AEI2
CAL0000190041	Q5AGC7
CAL0000177849	Q5AC37
CAL0000176178	Q5AAJ8
CAL0000199010	Q5A8T4
CAL0000188398	Q5A3Y5
CAL0000183095	P22011
CAL0000202030	Q9UW19
CAL0000181382	Q59RL7
CAL0000188408	Q5ADS3
CAL0000200824	Q59X38
CAL0000174441	Q5ACP5
CAL0000186628	Q5ANB2
CAL0000200830	Q5A5U6
CAL0000190075	Q5AH12
CAL0000176208	O94048
CAL0000188422	Q9B8C9
CAL0000176214	Q59S45
CAL0000184853	P46587
CAL0000184857	Q59K86
CAL0000183109	Q5ANL6
CAL0000197320	Q9P8P7
CAL0000174462	Q59ZG8
CAL0000174464	O74261
CAL0000184865	Q59W50
CAL0000179664	Q59SU5
CAL0000195515	Q5AK54
CAL0000188438	Q5ABC5
CAL0000199068	O93803
CAL0000195525	P0CY19
CAL0000193696	Q59UH5
CAL0000183131	Q5A201
CAL0000199073	Q59PD6
CAL0000179678	Q5APF2
CAL0000190105	Q5A6Q7
CAL0000191909	Q5AK73
CAL0000184891	P46273
CAL0000186668	Q59Z51
CAL0000199081	Q59VP1
CAL0000191921	Q5A4N0
CAL0000199089	Q5ACU4
CAL0000193712	Q5A861
CAL0000174500	O93852
CAL0000188460	Q59V02
CAL0000197349	P78595
CAL0000186684	Q59L13
CAL0000176261	P53704
CAL0000202034	Q9UW21
CAL0000197369	Q8TG40
CAL0000190174	Q5AEC6
CAL0000186708	Q5A5Q6
CAL0000186714	Q5AEM8
CAL0000176287	Q5APQ8
CAL0000191976	O42817
CAL0000174555	Q59PE7
CAL0000197415	Q5A1A9
CAL0000174567	P0CB63
CAL0000195624	P53709
CAL0000193748	Q5AP90
CAL0000179732	Q59MV1
CAL0000181506	Q59YL9
CAL0000192002	P83777
CAL0000176310	P10613
CAL0000179742	Q59YT1
CAL0000200955	Q5A044
CAL0000178007	P83784
CAL0000174600	Q5AHB8
CAL0000176330	Q59ZW9
CAL0000178025	Q5ADL4
CAL0000183239	Q59N10
CAL0000185017	Q5A6N8
CAL0000174610	P87020
CAL0000179750	Q5AAH2
CAL0000195669	Q59PW0
CAL0000178044	Q59VN0
CAL0000199188	Q5AF54
CAL0000192056	Q5AD72
CAL0000188545	Q5ALL3
CAL0000197462	Q5A4F3
CAL0000185037	O59924
CAL0000197470	Q5AMR5
CAL0000183265	Q59Y31
CAL0000179762	Q5AC08
CAL0000178072	Q9Y872
CAL0000192075	Q9B8C8
CAL0000193807	P43094
CAL0000181572	Q5AIA1
CAL0000199213	Q59S42
CAL0000192099	Q5AHE8
CAL0000176369	Q59TB2
CAL0000174666	Q59YF4
CAL0000188572	Q5A649
CAL0000188584	Q96W54
CAL0000186811	Q9B8D5
CAL0000201009	Q59M56
CAL0000174683	Q5AH25
CAL0000176393	Q5A360
CAL0000179829	Q5AG73
CAL0000181596	Q5A0W7
CAL0000183313	Q59S66
CAL0000199251	Q59Q43
CAL0000197537	Q5A6N1
CAL0000199253	Q5ANC8
CAL0000185106	Q5A6Q4
CAL0000186831	Q5A0E5
CAL0000201029	Q5AGV7
CAL0000201027	P83779
CAL0000195739	Q5AK25
CAL0000183331	Q5A3K2
CAL0000183335	Q9B1P9
CAL0000192137	Q5AFC2
CAL0000186851	Q59L86
CAL0000186853	P43073
CAL0000188632	Q59ZW2
CAL0000186855	Q5ABD9
CAL0000193890	Q5ADV5
CAL0000186859	Q59SF7
CAL0000201046	Q5AKB1
CAL0000195751	Q5AI90
CAL0000192143	Q5APR8
CAL0000178137	Q5AAT0
CAL0000197579	Q5AFN8
CAL0000190345	Q5AP89
CAL0000201062	P46598
CAL0000188644	Q5AL52
CAL0000174731	Q5A8W9
CAL0000186883	Q59VX8
CAL0000183368	Q5A302
CAL0000179875	Q5A6P6
CAL0000190357	Q59S06
CAL0000190355	Q5A6B6
CAL0000201078	Q59X39
CAL0000174743	P78587
CAL0000183380	Q59S85
CAL0000188662	Q00310
CAL0000190371	Q5A6K8
CAL0000197617	Q5A8X7
CAL0000176486	Q5APF0
CAL0000188676	Q5AD07
CAL0000190377	Q9UW24
CAL0000193934	Q59VM7
CAL0000197623	Q59P96
CAL0000192193	Q59ZV4
CAL0000174761	Q5A1M3
CAL0000179917	Q9B8D0
CAL0000174763	Q59TU0
CAL0000197627	Q5A7Q6
CAL0000178188	Q59L96
CAL0000176498	Q5AGZ9
CAL0000186924	Q5AJY5
CAL0000185188	Q5A0Y2
CAL0000199333	Q5A218
CAL0000197643	Q5AD78
CAL0000179927	Q59ST1
CAL0000183414	Q5ACM9
CAL0000188700	Q5AAR0
CAL0000174774	Q59N80
CAL0000192200	Q5A1B2
CAL0000178196	Q5A343
CAL0000199344	Q5ANB7
CAL0000174776	Q5AFH3
CAL0000185200	Q5A8H7
CAL0000199348	Q59WV0
CAL0000183421	Q59LN9
CAL0000201140	Q5A651
CAL0000195839	Q5AHC2
CAL0000197650	Q5A2Y7
CAL0000185210	Q92210
CAL0000192226	Q5A846
CAL0000199374	Q5AAJ7
CAL0000174808	Q5A4E3
CAL0000197682	Q5A660
CAL0000197690	P83780
CAL0000178222	Q9HFQ7
CAL0000186956	Q5AMT2
CAL0000174814	Q5AK64
CAL0000185245	Q59RA0
CAL0000201177	Q59KF3
CAL0000201175	Q5A7P3
CAL0000195882	Q5AK51
CAL0000192268	Q5ALX3
CAL0000183476	Q59W44
CAL0000197712	Q5ACR4
CAL0000190503	Q5AEM6
CAL0000174854	Q5A246
CAL0000195890	P87066
CAL0000181775	Q5A013
CAL0000197730	Q5A6T5
CAL0000194074	P40954
CAL0000194072	Q5AF03
CAL0000194078	Q5ADN8
CAL0000186998	Q9URB4
CAL0000181783	O13318
CAL0000188769	P87207
CAL0000185288	Q5ACZ2
CAL0000176590	Q59X49
CAL0000194082	O74201
CAL0000180033	Q59VW7
CAL0000199442	Q5A7Q3
CAL0000183521	Q59Z14
CAL0000187022	Q5A4X0
CAL0000185317	Q5APB6
CAL0000185321	Q59L25
CAL0000195924	Q5A644
CAL0000187034	O94072
CAL0000190545	Q9P844
CAL0000176618	Q5A4H5
CAL0000197776	Q59QC6
CAL0000194125	Q5AFP3
CAL0000190567	Q5AKU6
CAL0000195952	Q5AI15
CAL0000183559	Q59WH7
CAL0000176626	Q9P8W0
CAL0000197796	Q59WD5
CAL0000180084	Q5A4H9
CAL0000199482	P46250
CAL0000180094	Q5AL36
CAL0000190583	P29717
CAL0000199484	Q59VF4
CAL0000187076	Q5AL63
CAL0000178329	Q5A762
CAL0000185371	Q5AQ36
CAL0000192402	Q59WH0
CAL0000195982	P30573
CAL0000199505	Q5AHI7
CAL0000194175	Q59P11
CAL0000188872	Q5A3Z5
CAL0000196000	P48989
CAL0000185389	Q71U11
CAL0000196002	Q59NR8
CAL0000196006	Q5A687
CAL0000201310	O59931
CAL0000199533	Q5AEN1
CAL0000183631	Q5AGV4
CAL0000180156	Q5A4M8
CAL0000190633	P87219
CAL0000188888	P46592
CAL0000199539	Q5ACV9
CAL0000178383	Q5AB49
CAL0000199544	Q59WJ5
CAL0000190643	P0CT51
CAL0000174966	Q5AML6
CAL0000181927	Q59W52
CAL0000178398	Q5AG86
CAL0000174972	Q5A2A2
CAL0000196033	Q5ALW7
CAL0000196043	Q5A2B9
CAL0000190649	Q59ZX3
CAL0000192456	Q8X1E6
CAL0000201350	Q5A0X8
CAL0000199574	Q5AI21
CAL0000187163	Q5ACW2
CAL0000180194	Q5AMG5
CAL0000192484	Q5AI86
CAL0000187173	Q59KY8
CAL0000188918	Q5AKU4
CAL0000185470	Q5AF39
CAL0000187177	P87218
CAL0000185478	Q5AFT2
CAL0000187181	Q5AM84
CAL0000196077	Q5AJC1
CAL0000178438	Q5ADL8
CAL0000196083	P0C8L0
CAL0000188938	Q9B8D7
CAL0000178448	Q874I4
CAL0000176774	Q5A1D3
CAL0000181989	Q59Y20
CAL0000181993	P83778
CAL0000187201	Q5ABD0
CAL0000183710	Q59X26
CAL0000192526	Q5A310
CAL0000176786	Q5A6A4
CAL0000185532	Q5A1N6
CAL0000199618	Q59ST8
CAL0000194292	Q5A8I8
CAL0000197943	Q59QC4
CAL0000182010	Q59R28
CAL0000182012	P87185
CAL0000185546	Q59PV6
CAL0000194302	Q5AI37
CAL0000187219	Q5ADM9
CAL0000190729	Q5A4E2
CAL0000197956	Q5AL49
CAL0000178486	Q5AA26
CAL0000196141	P46589
CAL0000180258	Q59ZX6
CAL0000201451	Q5AFK3
CAL0000185566	P82612
CAL0000183747	Q5AAG6
CAL0000197990	Q5AAL9
CAL0000196167	Q59VR3
CAL0000190751	Q5AEF0
CAL0000201463	Q5A960
CAL0000190753	Q5APJ9
CAL0000197994	Q5A432
CAL0000185574	Q5ACU3
CAL0000189026	Q9B8D3
CAL0000192577	Q59QC2
CAL0000180282	Q5AG40
CAL0000196189	Q92209
CAL0000182054	Q59P39
CAL0000180288	Q5A4P9
CAL0000192592	P40910
CAL0000178538	Q5A5N6
CAL0000185584	Q5ANP2
CAL0000201490	Q9UVL1
CAL0000194371	Q59P53
CAL0000175114	Q5A872
CAL0000178545	Q59P50
CAL0000196200	Q59MA9
CAL0000199701	Q07730
CAL0000189056	Q5A9Z6
CAL0000192612	P0CY33
CAL0000196216	Q5APC0
CAL0000201522	Q5A2Z1
CAL0000176884	Q9P843
CAL0000180322	Q5AJF1
CAL0000187299	Q59VN2
CAL0000194403	Q5AP52
CAL0000178573	O93827
CAL0000196232	Q5A0Y8
CAL0000199731	Q59S50
CAL0000185645	P30575
CAL0000176920	Q9P4E8
CAL0000178583	Q59VW6
CAL0000180348	Q59UG4
CAL0000182112	Q5AAW3
CAL0000196262	Q59KC4
CAL0000189097	P83776
CAL0000192659	O42825
CAL0000185656	Q59MN0
CAL0000201559	P30418
CAL0000175165	Q5AJC0
CAL0000194442	Q5AFI4
CAL0000189107	Q5AA33
CAL0000199755	Q59PT0
CAL0000192673	Q5A2Y7
CAL0000182135	Q59Q38
CAL0000196284	P53698
CAL0000201569	P0CY29
CAL0000175173	Q5AMQ4
CAL0000187344	P0C8K9
CAL0000189115	P34948
CAL0000198101	Q59X94
CAL0000185677	Q5AM60
CAL0000189123	O13426
CAL0000198103	P0CY24
CAL0000192685	Q5AD13
CAL0000182153	Q96VB9
CAL0000190883	Q59P87
CAL0000189137	Q59S27
CAL0000190895	Q9HEW1
CAL0000180412	Q59LL4
CAL0000201599	Q59LP6
CAL0000182169	Q5A8K2
CAL0000175205	Q59WB9
CAL0000199795	Q5AHC0
CAL0000198152	Q9P4E5
CAL0000190913	Q96W54
CAL0000190917	Q5ANE3
CAL0000190919	Q59WF4
CAL0000175219	Q5AMF7
CAL0000183898	Q5A692
CAL0000199825	Q9P4E7
CAL0000199829	Q59YK4
CAL0000192725	Q5AMQ6
CAL0000175225	Q5ACL7
CAL0000183908	Q5A884
CAL0000190942	Q5A119
CAL0000189182	P12461
CAL0000183926	P31353
CAL0000199838	Q5A506
CAL0000190952	Q5AAF4
CAL0000190954	P40953
CAL0000201641	P83783
CAL0000198191	Q59MF9
CAL0000182219	Q5AFG1
CAL0000194527	Q5A1V3
CAL0000194538	Q5ACL4
CAL0000178718	Q5AF41
CAL0000196404	Q59VQ3
CAL0000182242	Q5ACK7
CAL0000175277	Q59VP0
CAL0000201667	Q9B8D6
CAL0000187472	Q5AL27
CAL0000189228	Q5A5N5
CAL0000201683	Q5AI22
CAL0000199884	Q5AF95
CAL0000194570	Q5AKW3
CAL0000182282	P82611
CAL0000194576	Q9UW26
CAL0000201697	Q5A3M6
CAL0000201699	Q5A301
CAL0000184027	P31225
CAL0000192835	Q5AP66
CAL0000185825	Q59N29
CAL0000177069	O94091
CAL0000175312	Q59VF9
CAL0000189257	Q5A917
CAL0000185831	Q59TD3
CAL0000189259	Q5A7N3
CAL0000194603	Q59LU0
CAL0000196446	Q5AQ76
CAL0000177077	Q5AEF2
CAL0000199919	Q59MA6
CAL0000192847	O74189
CAL0000192851	Q59PR9
CAL0000194621	Q5A368
CAL0000177089	Q5A723
CAL0000185849	P46588
CAL0000185853	Q59RH5
CAL0000199935	Q5AG56
CAL0000185855	Q5AFF7
CAL0000185859	P0CY22
CAL0000187540	Q5A599
CAL0000194641	Q5A416
CAL0000192883	P46614
CAL0000189289	Q5ACN3
CAL0000199949	Q5AQ12
CAL0000175348	P0CH96
CAL0000175344	Q59Q46
CAL0000185873	Q5ANC9
CAL0000189293	Q5A2V2
CAL0000185877	O60035
CAL0000184073	Q59KL6
CAL0000175354	Q5A0A9
CAL0000192887	Q5ALX8
CAL0000191081	O94150
CAL0000194661	Q59SU1
CAL0000177109	Q5AD34
CAL0000180554	P83774
CAL0000192895	Q59T36
CAL0000175363	O94017
CAL0000184093	P0CY32
CAL0000177117	Q59SR6
CAL0000178834	P43069
CAL0000184097	Q5A309
CAL0000201779	Q9P926
CAL0000194672	Q5A940
CAL0000187589	Q59XW9
CAL0000194674	O43101
CAL0000184111	Q5ALX5
CAL0000184113	Q5A449
CAL0000182375	Q59MZ9
CAL0000184115	Q5AM50
CAL0000182381	P83781
CAL0000201809	Q59VC6
CAL0000194687	Q5AD23
CAL0000189325	P42800
CAL0000175393	Q5AA40
CAL0000192933	Q59X23
CAL0000189327	Q5ALL8
CAL0000180598	P46586
CAL0000198341	O42766
CAL0000182395	Q5ABA2
CAL0000177161	Q59S78
CAL0000201825	Q59S52
CAL0000191133	Q5ADP9
CAL0000196532	Q8TGH6
CAL0000201827	Q59UT5
CAL0000180608	Q5AEN6
CAL0000180612	Q59VN2
CAL0000185932	Q5AEE1
CAL0000202032	Q9UW20
CAL0000178882	O13332
CAL0000180616	Q59YD8
CAL0000194756	Q3MNT0
CAL0000201857	Q5AB93
CAL0000200048	Q5A2W2
CAL0000177209	P47834
CAL0000198392	Q59NX5
CAL0000200054	P87024
CAL0000177213	Q9UWF6
CAL0000196562	Q873N2
CAL0000178918	Q5ADP6
CAL0000177227	P43072
CAL0000198404	Q5AK42
CAL0000175471	Q5ADT9
CAL0000182452	Q59M70
CAL0000200084	Q59XQ1
CAL0000185988	Q5APT8
CAL0000177240	Q5AH38
CAL0000178940	Q9P840
CAL0000175489	Q5AHG6
CAL0000193017	Q59ZV5
CAL0000178942	Q9P8E3
CAL0000200104	Q9UW23
CAL0000201912	Q59S72
CAL0000201918	Q5AK97
CAL0000201916	Q5AGA0
CAL0000193039	Q59ST6
CAL0000182468	Q5A519
CAL0000193043	Q59Y11
CAL0000184232	Q5A1E1
CAL0000198437	P0CH67
CAL0000189412	Q59KG2
CAL0000178984	Q5AND1
CAL0000177264	G1UB61
CAL0000182482	Q5ALW2
CAL0000178990	Q5AED9
CAL0000202036	Q9UW22
CAL0000201940	G1UB63
CAL0000175514	Q9HFV5
CAL0000196618	Q5A847
CAL0000186024	Q5ABC6
CAL0000182486	P0C075
CAL0000175524	Q5AD49
CAL0000198463	P43079
CAL0000180700	Q59MJ1
CAL0000179014	Q5AJ77
CAL0000193085	Q59L89
CAL0000194858	Q5A8N2
CAL0000200169	Q5A0E2
CAL0000198473	Q5AP65
CAL0000177294	Q59XX2
CAL0000201954	Q5ADQ9
CAL0000193093	Q5AI44
CAL0000191257	Q59LX5
CAL0000179030	Q59UH7
CAL0000186053	Q59WG5
CAL0000187774	Q5AMG6
CAL0000173921	A0A1D8
CAL0000173925	A0A1D8
CAL0000173927	A0A1D8
CAL0000173935	Q5ANA9
CAL0000173937	A0A1D8
CAL0000173941	Q59ST0
CAL0000187800	A0A1D8
CAL0000173943	A0A1D8
CAL0000187802	A0A1D8
CAL0000187810	Q5AC33
CAL0000173955	A0A1D8
CAL0000187814	A0A1D8
CAL0000187816	A0A1D8
CAL0000173959	A0A1D8
CAL0000187820	A0A1D8
CAL0000173967	A0A1D8
CAL0000173973	A0A1D8
CAL0000187822	A0A1D8
CAL0000187824	Q5AMR1
CAL0000187831	A0A1D8
CAL0000173980	A0A1D8
CAL0000187833	A0A1D8
CAL0000187841	A0A1D8
CAL0000173988	A0A1D8
CAL0000187845	A0A1D8
CAL0000187847	A0A1D8
CAL0000187854	A0A1D8
CAL0000174002	A0A1D8
CAL0000187856	A0A1D8
CAL0000187860	Q5AFD8
CAL0000174004	A0A1D8
CAL0000174006	Q5AH13
CAL0000187862	Q5ACX5
CAL0000174014	A0A1D8
CAL0000174016	Q5APB5
CAL0000174018	A0A1D8
CAL0000187870	Q59SC9
CAL0000187875	Q59TB4
CAL0000174026	Q5ABB5
CAL0000187877	Q5A7N4
CAL0000174029	A0A1D8
CAL0000187887	A0A1D8
CAL0000187885	A0A1D8
CAL0000187891	Q5ANK4
CAL0000174037	A0A1D8
CAL0000174039	A0A1D8
CAL0000174041	A0A1D8
CAL0000174052	A0A1D8
CAL0000174056	A0A1D8
CAL0000174058	A0A1D8
CAL0000187913	Q5ADV2
CAL0000174068	Q5A750
CAL0000187941	A0A1D8
CAL0000187953	A0A1D8
CAL0000187951	Q5AAR6
CAL0000174087	A0A1D8
CAL0000187981	A0A1D8
CAL0000187983	A0A1D8
CAL0000187987	A0A1D8
CAL0000174097	A0A1D8
CAL0000187993	A0A1D8
CAL0000187999	A0A1D8
CAL0000174101	Q5AJC5
CAL0000174108	A0A1D8
CAL0000174110	A0A1D8
CAL0000188003	A0A1D8
CAL0000188008	A0A1D8
CAL0000174114	Q5A217
CAL0000174120	A0A1D8
CAL0000188012	Q59QA9
CAL0000188018	A0A1D8
CAL0000188016	A0A1D8
CAL0000188024	A0A1D8
CAL0000188028	A0A1D8
CAL0000174130	Q5AH58
CAL0000188030	Q5ABA1
CAL0000188034	A0A1D8
CAL0000174138	G1UA84
CAL0000188040	A0A1D8
CAL0000188044	Q59KQ4
CAL0000174146	A0A1D8
CAL0000188052	Q59TD1
CAL0000174148	A0A1D8
CAL0000188058	Q59US5
CAL0000188062	Q5AFB3
CAL0000188060	A0A1D8
CAL0000174160	A0A1D8
CAL0000188068	A0A1D8
CAL0000174172	Q5A3L3
CAL0000188084	A0A1D8
CAL0000174174	A0A1D8
CAL0000188082	A0A1D8
CAL0000188080	Q5AKW1
CAL0000188086	A0A1D8
CAL0000188088	A0A1D8
CAL0000188094	Q59V20
CAL0000188096	A0A1D8
CAL0000174186	Q5A880
CAL0000188102	Q5AJZ3
CAL0000174192	Q5A0J3
CAL0000188106	A0A1D8
CAL0000174196	G1UAZ1
CAL0000174198	Q5A5V8
CAL0000188111	Q5AFB7
CAL0000174200	A0A1D8
CAL0000174202	A0A1D8
CAL0000174204	A0A1D8
CAL0000188113	A0A1D8
CAL0000174208	A0A1D8
CAL0000188123	Q5AK02
CAL0000188121	Q5AHC4
CAL0000174210	A0A1D8
CAL0000188126	A0A1D8
CAL0000174214	A0A1D8
CAL0000188128	A0A1D8
CAL0000174219	A0A1D8
CAL0000188136	Q5A9C3
CAL0000188148	A0A1D8
CAL0000174229	Q5APB2
CAL0000188150	A0A1D8
CAL0000174235	A0A1D8
CAL0000188156	A0A1D8
CAL0000174239	Q5AH99
CAL0000174243	A0A1D8
CAL0000188182	A0A1D8
CAL0000174249	Q5AKV9
CAL0000174261	A0A1D8
CAL0000188193	A0A1D8
CAL0000174265	A0A1D8
CAL0000188197	A0A1D8
CAL0000174269	A0A1D8
CAL0000188199	A0A1D8
CAL0000188205	A0A1D8
CAL0000188207	A0A1D8
CAL0000188209	A0A1D8
CAL0000188220	A0A1D8
CAL0000188218	A0A1D8
CAL0000188222	A0A1D8
CAL0000174285	A0A1D8
CAL0000188224	A0A1D8
CAL0000188228	A0A1D8
CAL0000174295	Q5A784
CAL0000188232	A0A1D8
CAL0000188234	A0A1D8
CAL0000188240	Q59RQ6
CAL0000188242	A0A1D8
CAL0000188246	Q59ZZ4
CAL0000188254	A0A1D8
CAL0000188252	A0A1D8
CAL0000174313	Q5ALU1
CAL0000188260	A0A1D8
CAL0000188264	A0A1D8
CAL0000174315	A0A1D8
CAL0000174323	Q5A4X9
CAL0000174326	A0A1D8
CAL0000188276	A0A1D8
CAL0000174332	Q5A012
CAL0000174334	A0A1D8
CAL0000174336	A0A1D8
CAL0000188283	A0A1D8
CAL0000188287	Q59WC9
CAL0000174346	A0A1D8
CAL0000188293	A0A1D8
CAL0000188301	A0A1D8
CAL0000174348	A0A1D8
CAL0000188307	A0A1D8
CAL0000188305	A0A1D8
CAL0000188314	Q5ABU1
CAL0000188324	A0A1D8
CAL0000188322	A0A1D8
CAL0000188326	A0A1D8
CAL0000174377	A0A1D8
CAL0000174381	Q5A5R1
CAL0000174383	Q59T94
CAL0000174387	A0A1D8
