http://www.candidagenome.org/download/External_id_mappings/gp2protein.cgd.gz
CGD:CAL0000193101	UniProtKB:Q5A0W9
CGD:CAL0000184506	UniProtKB:Q9P8W1
CGD:CAL0000196898	UniProtKB:Q59V01
CGD:CAL0000175809	UniProtKB:P43075
CGD:CAL0000182747	UniProtKB:Q5AKU5
CGD:CAL0000186279	UniProtKB:P87206
CGD:CAL0000200439	UniProtKB:Q59XP0
CGD:CAL0000198677	UniProtKB:Q96WL3
CGD:CAL0000200441	UniProtKB:Q59VP2
CGD:CAL0000195105	UniProtKB:Q5AHD6
CGD:CAL0000195107	UniProtKB:Q59VM4
CGD:CAL0000196918	UniProtKB:Q5ABV6
CGD:CAL0000195117	UniProtKB:Q5APM7
CGD:CAL0000186291	UniProtKB:Q5ABZ2
CGD:CAL0000186295	UniProtKB:Q5AH11
CGD:CAL0000193330	UniProtKB:Q59MJ2
CGD:CAL0000189708	UniProtKB:Q59WG7
CGD:CAL0000189710	UniProtKB:P78594
CGD:CAL0000196930	UniProtKB:Q5A387
CGD:CAL0000196928	UniProtKB:Q5AGW8
CGD:CAL0000195131	UniProtKB:Q59UT4
CGD:CAL0000186307	UniProtKB:Q5AJ85
CGD:CAL0000181001	UniProtKB:Q59PL9
CGD:CAL0000196936	UniProtKB:P0CY35
CGD:CAL0000193350	UniProtKB:Q5A4G9
CGD:CAL0000177565	UniProtKB:Q59YS7
CGD:CAL0000182794	UniProtKB:Q59P03
CGD:CAL0000181023	UniProtKB:Q5A860
CGD:CAL0000196952	UniProtKB:P56553
CGD:CAL0000181029	UniProtKB:Q5AFA2
CGD:CAL0000196962	UniProtKB:Q59NP1
CGD:CAL0000174156	UniProtKB:Q9UW14
CGD:CAL0000174164	UniProtKB:Q5AQ62
CGD:CAL0000189736	UniProtKB:O43133
CGD:CAL0000179313	UniProtKB:O59933
CGD:CAL0000184565	UniProtKB:Q5AD05
CGD:CAL0000174170	UniProtKB:Q9UVJ4
CGD:CAL0000184567	UniProtKB:Q5A2T0
CGD:CAL0000174176	UniProtKB:Q59XM1
CGD:CAL0000174178	UniProtKB:Q59XV0
CGD:CAL0000195169	UniProtKB:P0CB54
CGD:CAL0000198735	UniProtKB:Q9P824
CGD:CAL0000193385	UniProtKB:Q5AAU3
CGD:CAL0000189760	UniProtKB:Q59UY7
CGD:CAL0000179350	UniProtKB:Q9UW25
CGD:CAL0000182821	UniProtKB:Q92410
CGD:CAL0000179355	UniProtKB:Q9B8D1
CGD:CAL0000181098	UniProtKB:P0C0X3
CGD:CAL0000198757	UniProtKB:Q5A4Q1
CGD:CAL0000182839	UniProtKB:P78599
CGD:CAL0000189790	UniProtKB:Q59LV5
CGD:CAL0000195194	UniProtKB:Q9P975
CGD:CAL0000186393	UniProtKB:P0CY34
CGD:CAL0000184616	UniProtKB:Q5A1E0
CGD:CAL0000184614	UniProtKB:Q5AIR7
CGD:CAL0000184618	UniProtKB:O94049
CGD:CAL0000195210	UniProtKB:Q5AAG1
CGD:CAL0000174216	UniProtKB:Q59ZU1
CGD:CAL0000198786	UniProtKB:Q59JW3
CGD:CAL0000198788	UniProtKB:Q59PT4
CGD:CAL0000189817	UniProtKB:Q5ALY0
CGD:CAL0000182853	UniProtKB:P79023
CGD:CAL0000184636	UniProtKB:Q59RN6
CGD:CAL0000198792	UniProtKB:Q5AJX2
CGD:CAL0000186415	UniProtKB:Q59PT6
CGD:CAL0000198802	UniProtKB:O93806
CGD:CAL0000181153	UniProtKB:Q59PR3
CGD:CAL0000191640	UniProtKB:Q59R32
CGD:CAL0000193447	UniProtKB:Q5ABQ7
CGD:CAL0000189855	UniProtKB:Q5A688
CGD:CAL0000200595	UniProtKB:Q5AA50
CGD:CAL0000175954	UniProtKB:Q5ANJ4
CGD:CAL0000188166	UniProtKB:Q5AFK0
CGD:CAL0000189861	UniProtKB:P83775
CGD:CAL0000186445	UniProtKB:P0CY31
CGD:CAL0000179436	UniProtKB:Q5A4G2
CGD:CAL0000175964	UniProtKB:Q5A931
CGD:CAL0000177663	UniProtKB:Q59ZI3
CGD:CAL0000182900	UniProtKB:Q5A477
CGD:CAL0000174251	UniProtKB:Q59Q79
CGD:CAL0000181188	UniProtKB:Q59YF0
CGD:CAL0000174257	UniProtKB:Q5A4X5
CGD:CAL0000200616	UniProtKB:O74713
CGD:CAL0000188191	UniProtKB:Q5ADL0
CGD:CAL0000198834	UniProtKB:Q5A6M0
CGD:CAL0000175982	UniProtKB:Q5AK59
CGD:CAL0000188195	UniProtKB:P86029
CGD:CAL0000197117	UniProtKB:Q5AMH6
CGD:CAL0000179458	UniProtKB:Q92206
CGD:CAL0000179460	UniProtKB:Q5A849
CGD:CAL0000193490	UniProtKB:Q5A446
CGD:CAL0000182919	UniProtKB:Q5A319
CGD:CAL0000200634	UniProtKB:Q59SI2
CGD:CAL0000186466	UniProtKB:O74161
CGD:CAL0000198853	UniProtKB:Q5AP53
CGD:CAL0000197139	UniProtKB:P33181
CGD:CAL0000174283	UniProtKB:Q59KJ7
CGD:CAL0000198859	UniProtKB:Q5ALV2
CGD:CAL0000179480	UniProtKB:Q5AM80
CGD:CAL0000174293	UniProtKB:Q5AK10
CGD:CAL0000197151	UniProtKB:Q59RF7
CGD:CAL0000179486	UniProtKB:P53697
CGD:CAL0000176016	UniProtKB:Q59YD9
CGD:CAL0000191729	UniProtKB:Q5AGC4
CGD:CAL0000182953	UniProtKB:Q5A7S5
CGD:CAL0000176038	UniProtKB:Q5A3Z6
CGD:CAL0000184706	UniProtKB:P41797
CGD:CAL0000200704	UniProtKB:Q5A7M3
CGD:CAL0000197175	UniProtKB:Q59X40
CGD:CAL0000182961	UniProtKB:Q5AGC1
CGD:CAL0000191743	UniProtKB:Q59QC7
CGD:CAL0000188272	UniProtKB:Q5ANI6
CGD:CAL0000177726	UniProtKB:Q5AD67
CGD:CAL0000177730	UniProtKB:Q5APD4
CGD:CAL0000191753	UniProtKB:Q5ALN1
CGD:CAL0000182971	UniProtKB:Q5A4N5
CGD:CAL0000200723	UniProtKB:Q5AI71
CGD:CAL0000182977	UniProtKB:Q9B8D2
CGD:CAL0000195338	UniProtKB:Q5APC8
CGD:CAL0000197201	UniProtKB:Q9UW13
CGD:CAL0000184734	UniProtKB:Q5AG46
CGD:CAL0000200741	UniProtKB:Q59P44
CGD:CAL0000189947	UniProtKB:Q9Y7F0
CGD:CAL0000182989	UniProtKB:Q5ADX5
CGD:CAL0000181303	UniProtKB:Q59PP0
CGD:CAL0000198911	UniProtKB:Q59NQ9
CGD:CAL0000191787	UniProtKB:Q5ABV4
CGD:CAL0000200753	UniProtKB:O94038
CGD:CAL0000181311	UniProtKB:Q59U73
CGD:CAL0000177775	UniProtKB:O74711
CGD:CAL0000186537	UniProtKB:Q59LF9
CGD:CAL0000191797	UniProtKB:Q5A748
CGD:CAL0000174369	UniProtKB:Q9Y7F0
CGD:CAL0000181323	UniProtKB:O59923
CGD:CAL0000197240	UniProtKB:Q92207
CGD:CAL0000179551	UniProtKB:Q59JU3
CGD:CAL0000183027	UniProtKB:Q5AD73
CGD:CAL0000200763	UniProtKB:Q5AAI8
CGD:CAL0000179560	UniProtKB:Q59SN0
CGD:CAL0000198953	UniProtKB:Q5AEK8
CGD:CAL0000193590	UniProtKB:Q59K07
CGD:CAL0000189989	UniProtKB:Q96W55
CGD:CAL0000181331	UniProtKB:P84149
CGD:CAL0000188340	UniProtKB:P28870
CGD:CAL0000176112	UniProtKB:Q5AJU7
CGD:CAL0000191817	UniProtKB:Q59W62
CGD:CAL0000179584	UniProtKB:Q59Q39
CGD:CAL0000190005	UniProtKB:Q5A5U4
CGD:CAL0000197264	UniProtKB:Q5A895
CGD:CAL0000188346	UniProtKB:Q59S43
CGD:CAL0000174399	UniProtKB:Q5AHH4
CGD:CAL0000184778	UniProtKB:Q5AH87
CGD:CAL0000190019	UniProtKB:Q5ADQ0
CGD:CAL0000198973	UniProtKB:Q59MI8
CGD:CAL0000188354	UniProtKB:P39827
CGD:CAL0000186587	UniProtKB:Q5AMN3
CGD:CAL0000184794	UniProtKB:Q5A869
CGD:CAL0000179592	UniProtKB:O94008
CGD:CAL0000176152	UniProtKB:Q5APS5
CGD:CAL0000198993	UniProtKB:Q5ABG1
CGD:CAL0000184804	UniProtKB:Q5ACH7
CGD:CAL0000183063	UniProtKB:Q59LQ5
CGD:CAL0000195449	UniProtKB:Q5AK66
CGD:CAL0000193637	UniProtKB:Q5AEI2
CGD:CAL0000190041	UniProtKB:Q5AGC7
CGD:CAL0000177849	UniProtKB:Q5AC37
CGD:CAL0000176178	UniProtKB:Q5AAJ8
CGD:CAL0000199010	UniProtKB:Q5A8T4
CGD:CAL0000188398	UniProtKB:Q5A3Y5
CGD:CAL0000183095	UniProtKB:P22011
CGD:CAL0000202030	UniProtKB:Q9UW19
CGD:CAL0000181382	UniProtKB:Q59RL7
CGD:CAL0000188408	UniProtKB:Q5ADS3
CGD:CAL0000200824	UniProtKB:Q59X38
CGD:CAL0000174441	UniProtKB:Q5ACP5
CGD:CAL0000186628	UniProtKB:Q5ANB2
CGD:CAL0000200830	UniProtKB:Q5A5U6
CGD:CAL0000190075	UniProtKB:Q5AH12
CGD:CAL0000176208	UniProtKB:O94048
CGD:CAL0000188422	UniProtKB:Q9B8C9
CGD:CAL0000176214	UniProtKB:Q59S45
CGD:CAL0000184853	UniProtKB:P46587
CGD:CAL0000184857	UniProtKB:Q59K86
CGD:CAL0000183109	UniProtKB:Q5ANL6
CGD:CAL0000197320	UniProtKB:Q9P8P7
CGD:CAL0000174462	UniProtKB:Q59ZG8
CGD:CAL0000174464	UniProtKB:O74261
CGD:CAL0000184865	UniProtKB:Q59W50
CGD:CAL0000179664	UniProtKB:Q59SU5
CGD:CAL0000195515	UniProtKB:Q5AK54
CGD:CAL0000188438	UniProtKB:Q5ABC5
CGD:CAL0000199068	UniProtKB:O93803
CGD:CAL0000195525	UniProtKB:P0CY19
CGD:CAL0000193696	UniProtKB:Q59UH5
CGD:CAL0000183131	UniProtKB:Q5A201
CGD:CAL0000199073	UniProtKB:Q59PD6
CGD:CAL0000179678	UniProtKB:Q5APF2
CGD:CAL0000190105	UniProtKB:Q5A6Q7
CGD:CAL0000191909	UniProtKB:Q5AK73
CGD:CAL0000184891	UniProtKB:P46273
CGD:CAL0000186668	UniProtKB:Q59Z51
CGD:CAL0000199081	UniProtKB:Q59VP1
CGD:CAL0000191921	UniProtKB:Q5A4N0
CGD:CAL0000199089	UniProtKB:Q5ACU4
CGD:CAL0000193712	UniProtKB:Q5A861
CGD:CAL0000174500	UniProtKB:O93852
CGD:CAL0000188460	UniProtKB:Q59V02
CGD:CAL0000197349	UniProtKB:P78595
CGD:CAL0000186684	UniProtKB:Q59L13
CGD:CAL0000176261	UniProtKB:P53704
CGD:CAL0000202034	UniProtKB:Q9UW21
CGD:CAL0000197369	UniProtKB:Q8TG40
CGD:CAL0000190174	UniProtKB:Q5AEC6
CGD:CAL0000186708	UniProtKB:Q5A5Q6
CGD:CAL0000186714	UniProtKB:Q5AEM8
CGD:CAL0000176287	UniProtKB:Q5APQ8
CGD:CAL0000191976	UniProtKB:O42817
CGD:CAL0000174555	UniProtKB:Q59PE7
CGD:CAL0000197415	UniProtKB:Q5A1A9
CGD:CAL0000174567	UniProtKB:P0CB63
CGD:CAL0000195624	UniProtKB:P53709
CGD:CAL0000193748	UniProtKB:Q5AP90
CGD:CAL0000179732	UniProtKB:Q59MV1
CGD:CAL0000181506	UniProtKB:Q59YL9
CGD:CAL0000192002	UniProtKB:P83777
CGD:CAL0000176310	UniProtKB:P10613
CGD:CAL0000179742	UniProtKB:Q59YT1
CGD:CAL0000200955	UniProtKB:Q5A044
CGD:CAL0000178007	UniProtKB:P83784
CGD:CAL0000174600	UniProtKB:Q5AHB8
CGD:CAL0000176330	UniProtKB:Q59ZW9
CGD:CAL0000178025	UniProtKB:Q5ADL4
CGD:CAL0000183239	UniProtKB:Q59N10
CGD:CAL0000185017	UniProtKB:Q5A6N8
CGD:CAL0000174610	UniProtKB:P87020
CGD:CAL0000179750	UniProtKB:Q5AAH2
CGD:CAL0000195669	UniProtKB:Q59PW0
CGD:CAL0000178044	UniProtKB:Q59VN0
CGD:CAL0000199188	UniProtKB:Q5AF54
CGD:CAL0000192056	UniProtKB:Q5AD72
CGD:CAL0000188545	UniProtKB:Q5ALL3
CGD:CAL0000197462	UniProtKB:Q5A4F3
CGD:CAL0000185037	UniProtKB:O59924
CGD:CAL0000197470	UniProtKB:Q5AMR5
CGD:CAL0000183265	UniProtKB:Q59Y31
CGD:CAL0000179762	UniProtKB:Q5AC08
CGD:CAL0000178072	UniProtKB:Q9Y872
CGD:CAL0000192075	UniProtKB:Q9B8C8
CGD:CAL0000193807	UniProtKB:P43094
CGD:CAL0000181572	UniProtKB:Q5AIA1
CGD:CAL0000199213	UniProtKB:Q59S42
CGD:CAL0000192099	UniProtKB:Q5AHE8
CGD:CAL0000176369	UniProtKB:Q59TB2
CGD:CAL0000174666	UniProtKB:Q59YF4
CGD:CAL0000188572	UniProtKB:Q5A649
CGD:CAL0000188584	UniProtKB:Q96W54
CGD:CAL0000186811	UniProtKB:Q9B8D5
CGD:CAL0000201009	UniProtKB:Q59M56
CGD:CAL0000174683	UniProtKB:Q5AH25
CGD:CAL0000176393	UniProtKB:Q5A360
CGD:CAL0000179829	UniProtKB:Q5AG73
CGD:CAL0000181596	UniProtKB:Q5A0W7
CGD:CAL0000183313	UniProtKB:Q59S66
CGD:CAL0000199251	UniProtKB:Q59Q43
CGD:CAL0000197537	UniProtKB:Q5A6N1
CGD:CAL0000199253	UniProtKB:Q5ANC8
CGD:CAL0000185106	UniProtKB:Q5A6Q4
CGD:CAL0000186831	UniProtKB:Q5A0E5
CGD:CAL0000201029	UniProtKB:Q5AGV7
CGD:CAL0000201027	UniProtKB:P83779
CGD:CAL0000195739	UniProtKB:Q5AK25
CGD:CAL0000183331	UniProtKB:Q5A3K2
CGD:CAL0000183335	UniProtKB:Q9B1P9
CGD:CAL0000192137	UniProtKB:Q5AFC2
CGD:CAL0000186851	UniProtKB:Q59L86
CGD:CAL0000186853	UniProtKB:P43073
CGD:CAL0000188632	UniProtKB:Q59ZW2
CGD:CAL0000186855	UniProtKB:Q5ABD9
CGD:CAL0000193890	UniProtKB:Q5ADV5
CGD:CAL0000186859	UniProtKB:Q59SF7
CGD:CAL0000201046	UniProtKB:Q5AKB1
CGD:CAL0000195751	UniProtKB:Q5AI90
CGD:CAL0000192143	UniProtKB:Q5APR8
CGD:CAL0000178137	UniProtKB:Q5AAT0
CGD:CAL0000197579	UniProtKB:Q5AFN8
CGD:CAL0000190345	UniProtKB:Q5AP89
CGD:CAL0000201062	UniProtKB:P46598
CGD:CAL0000188644	UniProtKB:Q5AL52
CGD:CAL0000174731	UniProtKB:Q5A8W9
CGD:CAL0000186883	UniProtKB:Q59VX8
CGD:CAL0000183368	UniProtKB:Q5A302
CGD:CAL0000179875	UniProtKB:Q5A6P6
CGD:CAL0000190357	UniProtKB:Q59S06
CGD:CAL0000190355	UniProtKB:Q5A6B6
CGD:CAL0000201078	UniProtKB:Q59X39
CGD:CAL0000174743	UniProtKB:P78587
CGD:CAL0000183380	UniProtKB:Q59S85
CGD:CAL0000188662	UniProtKB:Q00310
CGD:CAL0000190371	UniProtKB:Q5A6K8
CGD:CAL0000197617	UniProtKB:Q5A8X7
CGD:CAL0000176486	UniProtKB:Q5APF0
CGD:CAL0000188676	UniProtKB:Q5AD07
CGD:CAL0000190377	UniProtKB:Q9UW24
CGD:CAL0000193934	UniProtKB:Q59VM7
CGD:CAL0000197623	UniProtKB:Q59P96
CGD:CAL0000192193	UniProtKB:Q59ZV4
CGD:CAL0000174761	UniProtKB:Q5A1M3
CGD:CAL0000179917	UniProtKB:Q9B8D0
CGD:CAL0000174763	UniProtKB:Q59TU0
CGD:CAL0000197627	UniProtKB:Q5A7Q6
CGD:CAL0000178188	UniProtKB:Q59L96
CGD:CAL0000176498	UniProtKB:Q5AGZ9
CGD:CAL0000186924	UniProtKB:Q5AJY5
CGD:CAL0000185188	UniProtKB:Q5A0Y2
CGD:CAL0000199333	UniProtKB:Q5A218
CGD:CAL0000197643	UniProtKB:Q5AD78
CGD:CAL0000179927	UniProtKB:Q59ST1
CGD:CAL0000183414	UniProtKB:Q5ACM9
CGD:CAL0000188700	UniProtKB:Q5AAR0
CGD:CAL0000174774	UniProtKB:Q59N80
CGD:CAL0000192200	UniProtKB:Q5A1B2
CGD:CAL0000178196	UniProtKB:Q5A343
CGD:CAL0000199344	UniProtKB:Q5ANB7
CGD:CAL0000174776	UniProtKB:Q5AFH3
CGD:CAL0000185200	UniProtKB:Q5A8H7
CGD:CAL0000199348	UniProtKB:Q59WV0
CGD:CAL0000183421	UniProtKB:Q59LN9
CGD:CAL0000201140	UniProtKB:Q5A651
CGD:CAL0000195839	UniProtKB:Q5AHC2
CGD:CAL0000197650	UniProtKB:Q5A2Y7
CGD:CAL0000185210	UniProtKB:Q92210
CGD:CAL0000192226	UniProtKB:Q5A846
CGD:CAL0000199374	UniProtKB:Q5AAJ7
CGD:CAL0000174808	UniProtKB:Q5A4E3
CGD:CAL0000197682	UniProtKB:Q5A660
CGD:CAL0000197690	UniProtKB:P83780
CGD:CAL0000178222	UniProtKB:Q9HFQ7
CGD:CAL0000186956	UniProtKB:Q5AMT2
CGD:CAL0000174814	UniProtKB:Q5AK64
CGD:CAL0000185245	UniProtKB:Q59RA0
CGD:CAL0000201177	UniProtKB:Q59KF3
CGD:CAL0000201175	UniProtKB:Q5A7P3
CGD:CAL0000195882	UniProtKB:Q5AK51
CGD:CAL0000192268	UniProtKB:Q5ALX3
CGD:CAL0000183476	UniProtKB:Q59W44
CGD:CAL0000197712	UniProtKB:Q5ACR4
CGD:CAL0000190503	UniProtKB:Q5AEM6
CGD:CAL0000174854	UniProtKB:Q5A246
CGD:CAL0000195890	UniProtKB:P87066
CGD:CAL0000181775	UniProtKB:Q5A013
CGD:CAL0000197730	UniProtKB:Q5A6T5
CGD:CAL0000194074	UniProtKB:P40954
CGD:CAL0000194072	UniProtKB:Q5AF03
CGD:CAL0000194078	UniProtKB:Q5ADN8
CGD:CAL0000186998	UniProtKB:Q9URB4
CGD:CAL0000181783	UniProtKB:O13318
CGD:CAL0000188769	UniProtKB:P87207
CGD:CAL0000185288	UniProtKB:Q5ACZ2
CGD:CAL0000176590	UniProtKB:Q59X49
CGD:CAL0000194082	UniProtKB:O74201
CGD:CAL0000180033	UniProtKB:Q59VW7
CGD:CAL0000199442	UniProtKB:Q5A7Q3
CGD:CAL0000183521	UniProtKB:Q59Z14
CGD:CAL0000187022	UniProtKB:Q5A4X0
CGD:CAL0000185317	UniProtKB:Q5APB6
CGD:CAL0000185321	UniProtKB:Q59L25
CGD:CAL0000195924	UniProtKB:Q5A644
CGD:CAL0000187034	UniProtKB:O94072
CGD:CAL0000190545	UniProtKB:Q9P844
CGD:CAL0000176618	UniProtKB:Q5A4H5
CGD:CAL0000197776	UniProtKB:Q59QC6
CGD:CAL0000194125	UniProtKB:Q5AFP3
CGD:CAL0000190567	UniProtKB:Q5AKU6
CGD:CAL0000195952	UniProtKB:Q5AI15
CGD:CAL0000183559	UniProtKB:Q59WH7
CGD:CAL0000176626	UniProtKB:Q9P8W0
CGD:CAL0000197796	UniProtKB:Q59WD5
CGD:CAL0000180084	UniProtKB:Q5A4H9
CGD:CAL0000199482	UniProtKB:P46250
CGD:CAL0000180094	UniProtKB:Q5AL36
CGD:CAL0000190583	UniProtKB:P29717
CGD:CAL0000199484	UniProtKB:Q59VF4
CGD:CAL0000187076	UniProtKB:Q5AL63
CGD:CAL0000178329	UniProtKB:Q5A762
CGD:CAL0000185371	UniProtKB:Q5AQ36
CGD:CAL0000192402	UniProtKB:Q59WH0
CGD:CAL0000195982	UniProtKB:P30573
CGD:CAL0000199505	UniProtKB:Q5AHI7
CGD:CAL0000194175	UniProtKB:Q59P11
CGD:CAL0000188872	UniProtKB:Q5A3Z5
CGD:CAL0000196000	UniProtKB:P48989
CGD:CAL0000185389	UniProtKB:Q71U11
CGD:CAL0000196002	UniProtKB:Q59NR8
CGD:CAL0000196006	UniProtKB:Q5A687
CGD:CAL0000201310	UniProtKB:O59931
CGD:CAL0000199533	UniProtKB:Q5AEN1
CGD:CAL0000183631	UniProtKB:Q5AGV4
CGD:CAL0000180156	UniProtKB:Q5A4M8
CGD:CAL0000190633	UniProtKB:P87219
CGD:CAL0000188888	UniProtKB:P46592
CGD:CAL0000199539	UniProtKB:Q5ACV9
CGD:CAL0000178383	UniProtKB:Q5AB49
CGD:CAL0000199544	UniProtKB:Q59WJ5
CGD:CAL0000190643	UniProtKB:P0CT51
CGD:CAL0000174966	UniProtKB:Q5AML6
CGD:CAL0000181927	UniProtKB:Q59W52
CGD:CAL0000178398	UniProtKB:Q5AG86
CGD:CAL0000174972	UniProtKB:Q5A2A2
CGD:CAL0000196033	UniProtKB:Q5ALW7
CGD:CAL0000196043	UniProtKB:Q5A2B9
CGD:CAL0000190649	UniProtKB:Q59ZX3
CGD:CAL0000192456	UniProtKB:Q8X1E6
CGD:CAL0000201350	UniProtKB:Q5A0X8
CGD:CAL0000199574	UniProtKB:Q5AI21
CGD:CAL0000187163	UniProtKB:Q5ACW2
CGD:CAL0000180194	UniProtKB:Q5AMG5
CGD:CAL0000192484	UniProtKB:Q5AI86
CGD:CAL0000187173	UniProtKB:Q59KY8
CGD:CAL0000188918	UniProtKB:Q5AKU4
CGD:CAL0000185470	UniProtKB:Q5AF39
CGD:CAL0000187177	UniProtKB:P87218
CGD:CAL0000185478	UniProtKB:Q5AFT2
CGD:CAL0000187181	UniProtKB:Q5AM84
CGD:CAL0000196077	UniProtKB:Q5AJC1
CGD:CAL0000178438	UniProtKB:Q5ADL8
CGD:CAL0000196083	UniProtKB:P0C8L0
CGD:CAL0000188938	UniProtKB:Q9B8D7
CGD:CAL0000178448	UniProtKB:Q874I4
CGD:CAL0000176774	UniProtKB:Q5A1D3
CGD:CAL0000181989	UniProtKB:Q59Y20
CGD:CAL0000181993	UniProtKB:P83778
CGD:CAL0000187201	UniProtKB:Q5ABD0
CGD:CAL0000183710	UniProtKB:Q59X26
CGD:CAL0000192526	UniProtKB:Q5A310
CGD:CAL0000176786	UniProtKB:Q5A6A4
CGD:CAL0000185532	UniProtKB:Q5A1N6
CGD:CAL0000199618	UniProtKB:Q59ST8
CGD:CAL0000194292	UniProtKB:Q5A8I8
CGD:CAL0000197943	UniProtKB:Q59QC4
CGD:CAL0000182010	UniProtKB:Q59R28
CGD:CAL0000182012	UniProtKB:P87185
CGD:CAL0000185546	UniProtKB:Q59PV6
CGD:CAL0000194302	UniProtKB:Q5AI37
CGD:CAL0000187219	UniProtKB:Q5ADM9
CGD:CAL0000190729	UniProtKB:Q5A4E2
CGD:CAL0000197956	UniProtKB:Q5AL49
CGD:CAL0000178486	UniProtKB:Q5AA26
CGD:CAL0000196141	UniProtKB:P46589
CGD:CAL0000180258	UniProtKB:Q59ZX6
CGD:CAL0000201451	UniProtKB:Q5AFK3
CGD:CAL0000185566	UniProtKB:P82612
CGD:CAL0000183747	UniProtKB:Q5AAG6
CGD:CAL0000197990	UniProtKB:Q5AAL9
CGD:CAL0000196167	UniProtKB:Q59VR3
CGD:CAL0000190751	UniProtKB:Q5AEF0
CGD:CAL0000201463	UniProtKB:Q5A960
CGD:CAL0000190753	UniProtKB:Q5APJ9
CGD:CAL0000197994	UniProtKB:Q5A432
CGD:CAL0000185574	UniProtKB:Q5ACU3
CGD:CAL0000189026	UniProtKB:Q9B8D3
CGD:CAL0000192577	UniProtKB:Q59QC2
