From	To
Q5AHC0	XP_720999.1
Q9P4E5	XP_723508.1
Q5ANE3	XP_723171.1
Q5AMF7	XP_722756.1
Q9P4E7	XP_716454.1
Q59YK4	XP_714594.1
Q5ACL7	XP_719386.1
Q5A884	XP_717935.1
P12461	XP_714908.1
P31353	XP_721436.1
Q5A506	XP_716779.1
Q5AAF4	XP_718693.1
P83783	XP_721821.1
Q5AFG1	XP_720398.1
Q5ACL4	XP_719389.1
Q5AF41	XP_720515.1
Q59VQ3	XP_713645.1
Q5ACK7	XP_719395.1
Q9B8D6	NP_075032.2
Q5AL27	XP_722161.1
Q5A5N5	XP_717166.1
Q5AI22	XP_721528.1
Q5AF95	XP_720463.1
Q5AKW3	XP_722218.1
P82611	XP_716225.1
Q9UW26	XP_714613.1
Q5A3M6	XP_716313.1
Q5A301	XP_716075.1
P31225	XP_716457.1
Q5AP66	XP_723579.1
Q59N29	XP_711358.2
Q59TD3	XP_712923.2
Q5A7N3	XP_717805.1
Q59LU0	XP_019331065.1
Q5AEF2	XP_720011.2
O74189	XP_716993.1
Q59PR9	XP_711711.1
Q5A368	XP_716236.1
Q5A723	XP_717342.2
Q59RH5	XP_712421.1
Q5AG56	XP_720629.1
Q5AFF7	XP_720402.2
P0CY22	XP_715153.1
Q5A416	XP_716426.1
P46614	XP_714934.1
Q5ACN3	XP_719370.1
Q5AQ12	XP_723482.1
P0CH96	XP_723513.1
Q59Q46	XP_019330790.1
Q5ANC9	XP_723185.1
Q5A2V2	XP_716120.1
Q59KL6	XP_710284.1
Q5A0A9	XP_715235.1
Q5ALX8	XP_722498.1
O94150	XP_716299.1
P83774	XP_019331027.1
Q59T36	XP_712810.1
Q5A309	XP_716067.1
Q5A940	XP_718117.1
O43101	XP_710717.1
Q5ALX5	XP_722501.1
Q5A449	XP_716568.1
Q59MZ9	XP_711098.1
Q5AM50	XP_722569.1
P83781	XP_713647.1
P42800	XP_719347.1
Q5AA40	XP_718467.1
Q5ALL8	XP_722602.1
P46586	XP_721934.1
O42766	XP_721512.1
Q5ABA2	XP_719030.1
Q59S78	XP_019331008.1
Q59S52	XP_712472.1
Q5ADP9	XP_719888.1
Q8TGH6	XP_716635.1
Q59UT5	XP_713316.1
Q5AEN6	XP_719931.1
Q5AEE1	XP_720022.1
O13332	XP_715708.1
Q3MNT0	XP_715187.1
Q5AB93	XP_719039.1
Q5A2W2	XP_716110.1
Q59NX5	XP_711432.1
Q9UWF6	XP_713822.1
Q5ADP6	XP_719891.1
P43072	XP_711715.1
Q5AK42	XP_721887.1
Q5ADT9	XP_719849.1
Q59M70	XP_710845.1
Q5APT8	XP_723554.1
Q5AH38	XP_721338.1
Q9P840	XP_720330.1
Q59ZV5	XP_715036.1
Q9P8E3	XP_710932.1
Q9UW23	XP_019330959.1
Q5AK97	XP_721833.1
Q5AGA0	XP_720587.1
Q59ST6	XP_712734.1
Q5A519	XP_716766.1
Q5A1E1	XP_715534.1
P0CH67	XP_720524.1
Q59KG2	XP_710084.1
Q5AND1	XP_723182.1
G1UB61	XP_710520.1
Q5ALW2	XP_722514.1
Q5AED9	XP_720024.1
G1UB63	XP_720404.1
Q5A847	XP_717971.1
Q5ABC6	XP_719006.1
P0C075	XP_019330653.1
P43079	XP_713877.1
Q59MJ1	XP_710938.1
Q5AJ77	XP_721786.1
Q59L89	XP_710499.1
Q5A8N2	XP_718054.1
Q5A0E2	XP_715202.1
Q5AP65	XP_723580.1
Q5ADQ9	XP_719878.1
Q59UH7	XP_713220.1
Q59WG5	XP_713941.1
Q5AMG6	XP_722749.1
A0A1D8PJQ3	XP_019330851.1
A0A1D8PHH2	XP_712806.2
A0A1D8PR66	XP_716997.2
Q5ANA9	XP_723204.1
A0A1D8PRJ1	XP_715201.1
Q59ST0	XP_712741.1
A0A1D8PF56	XP_713031.2
A0A1D8PNQ6	XP_711416.1
A0A1D8PN83	XP_019330957.1
Q5AC33	XP_719082.1
A0A1D8PPY1	XP_719096.2
A0A1D8PMA9	XP_711439.2
A0A1D8PMC2	XP_019330933.1
A0A1D8PPP3	XP_716727.2
A0A1D8PPV6	XP_712514.2
A0A1D8PMY6	XP_716771.2
A0A1D8PSS1	XP_717399.2
A0A1D8PII4	XP_714421.2
Q5AMR1	XP_722657.1
A0A1D8PLT8	XP_711589.1
A0A1D8PNG7	XP_720581.2
A0A1D8PFH4	XP_711580.2
A0A1D8PQL2	XP_720362.1
A0A1D8PKI1	XP_716106.1
A0A1D8PJT9	XP_712751.2
A0A1D8PF44	XP_713794.2
A0A1D8PSF4	XP_713239.2
A0A1D8PQ84	XP_718069.2
A0A1D8PMJ4	XP_715570.1
Q5AFD8	XP_720420.1
A0A1D8PL67	XP_712614.2
Q5AH13	XP_721363.1
Q5ACX5	XP_719538.1
A0A1D8PN11	XP_714205.2
Q5APB5	XP_723536.1
A0A1D8PI64	XP_714461.2
Q59SC9	XP_712599.1
Q59TB4	XP_712942.1
Q5ABB5	XP_719017.1
Q5A7N4	XP_717804.1
A0A1D8PEW7	XP_711211.2
A0A1D8PS91	XP_715751.1
A0A1D8PFZ3	XP_710485.2
Q5ANK4	XP_723113.1
A0A1D8PN63	XP_711348.2
A0A1D8PLT6	XP_711587.2
A0A1D8PCN0	XP_713766.2
A0A1D8PG39	XP_719525.2
A0A1D8PU86	XP_719385.1
A0A1D8PIB5	XP_714439.2
Q5ADV2	XP_719837.1
Q5A750	XP_717648.1
A0A1D8PQ43	XP_719174.2
A0A1D8PKE0	XP_716634.1
Q5AAR6	XP_718835.1
A0A1D8PRF9	XP_712155.2
A0A1D8PPJ1	XP_714330.1
A0A1D8PFL8	XP_722165.1
A0A1D8PLU4	XP_711590.2
A0A1D8PPT5	XP_019331007.1
Q5AJC5	XP_721743.1
A0A1D8PF14	XP_713935.2
A0A1D8PMM6	XP_715537.2
A0A1D8PHX2	XP_713143.1
A0A1D8PFS4	XP_019330729.1
Q5A217	XP_715757.1
Q59QA9	XP_711897.1
A0A1D8PQF7	XP_712418.2
A0A1D8PF23	XP_713902.2
A0A1D8PDF7	XP_710864.2
A0A1D8PSH0	XP_713225.2
Q5AH58	XP_721320.1
Q5ABA1	XP_719032.1
A0A1D8PHK4	XP_714281.2
A0A1D8PQQ7	XP_720305.1
Q59KQ4	XP_710314.1
Q59KQ4	XP_711997.2
A0A1D8PRG2	XP_715252.1
Q59TD1	XP_712925.1
A0A1D8PKK5	XP_716071.1
Q59US5	XP_713326.1
Q5AFB3	XP_720447.1
A0A1D8PJM5	XP_712759.2
A0A1D8PJM5	XP_720007.2
A0A1D8PG14	XP_019330736.1
A0A1D8PQ33	XP_719168.2
Q5A3L3	XP_716326.1
A0A1D8PTJ7	XP_019331101.1
A0A1D8PLZ6	XP_717101.2
A0A1D8PL97	XP_722746.1
Q5AKW1	XP_722220.1
A0A1D8PJC8	XP_721716.2
A0A1D8PIX8	XP_717798.2
Q59V20	XP_713409.1
A0A1D8PMT8	XP_710527.1
Q5A880	XP_717939.1
Q5AJZ3	XP_721936.1
Q5A0J3	XP_715359.1
A0A1D8PFN6	XP_722199.2
Q5A5V8	XP_717097.1
Q5AFB7	XP_720443.1
A0A1D8PRB3	XP_711682.2
A0A1D8PPZ7	XP_719114.2
A0A1D8PPB1	XP_710493.1
A0A1D8PIP3	XP_714404.2
A0A1D8PK86	XP_714684.1
Q5AK02	XP_721926.1
Q5AHC4	XP_720995.1
A0A1D8PSU1	XP_019331085.1
A0A1D8PJB3	XP_721738.2
A0A1D8PGN5	XP_722627.2
A0A1D8PU63	XP_719368.1
A0A1D8PCJ1	XP_718173.2
Q5A9C3	XP_718210.1
Q5APB2	XP_723538.1
A0A1D8PCK2	XP_712974.2
A0A1D8PKB2	XP_714690.1
A0A1D8PDC4	XP_019330645.1
Q5AH99	XP_721018.1
A0A1D8PRL7	XP_718699.2
A0A1D8PG79	XP_719491.2
Q5AKV9	XP_722222.1
A0A1D8PK28	XP_723089.2
A0A1D8PJU0	XP_711006.2
A0A1D8PF08	XP_019330698.1
A0A1D8PCS6	XP_721445.2
A0A1D8PHA7	XP_714888.2
A0A1D8PRG1	XP_715246.1
A0A1D8PUA9	XP_719419.1
A0A1D8PEP2	XP_019330684.1
A0A1D8PIK6	XP_714430.2
A0A1D8PHY2	XP_716054.2
A0A1D8PPY3	XP_719100.2
A0A1D8PH50	XP_712934.2
A0A1D8PT51	XP_441044.2
A0A1D8PMH3	XP_711868.2
Q5A784	XP_717616.1
A0A1D8PH78	XP_712917.2
A0A1D8PPL3	XP_716755.2
Q59RQ6	XP_712334.1
A0A1D8PPL7	XP_716746.2
Q59ZZ4	XP_715170.1
A0A1D8PU17	XP_711295.1
A0A1D8PSI3	XP_715171.2
Q5ALU1	XP_722534.1
A0A1D8PE74	XP_717608.2
A0A1D8PKI4	XP_716105.1
A0A1D8PMD7	XP_716555.2
Q5A4X9	XP_716805.1
A0A1D8PHP5	XP_019330791.1
A0A1D8PDY3	XP_718798.2
Q5A012	XP_715152.1
A0A1D8PNS9	XP_711173.1
A0A1D8PLH1	XP_019330911.1
A0A1D8PJW1	XP_019330850.1
Q59WC9	XP_713884.1
A0A1D8PTB8	XP_019331097.1
A0A1D8PNF7	XP_720560.2
A0A1D8PRN0	XP_718684.1
A0A1D8PFH7	XP_711565.2
A0A1D8PU35	XP_719318.1
A0A1D8PKF6	XP_716078.1
Q5ABU1	XP_719170.1
A0A1D8PJJ7	XP_719954.2
A0A1D8PDB7	XP_712239.2
A0A1D8PM71	XP_717196.2
A0A1D8PT66	XP_715891.2
Q5A5R1	XP_717141.1
Q59T94	XP_712962.1
A0A1D8PRH6	XP_715227.1
A0A1D8PH76	XP_710615.2
A0A1D8PDI3	XP_019330648.1
Q5A2C7	XP_715849.1
A0A1D8PNM8	XP_712029.2
A0A1D8PIB2	XP_712583.1
A0A1D8PT24	XP_711701.2
A0A1D8PMP4	XP_715431.2
A0A1D8PPS7	XP_713819.1
A0A1D8PL61	XP_722762.2
A0A1D8PIG2	XP_714576.2
A0A1D8PF19	XP_713814.1
Q5ALQ3	XP_722567.1
A0A1D8PKD2	XP_716619.1
Q5API4	XP_723466.1
A0A1D8PJD5	XP_019330837.1
A0A1D8PCZ8	XP_721539.2
A0A1D8PQB9	XP_710425.2
A0A1D8PST6	XP_711103.2
A0A1D8PCF2	XP_718138.2
A0A1D8PNG4	XP_019330965.1
A0A1D8PS97	XP_710700.2
Q5A0L0	XP_715342.1
A0A1D8PD49	XP_711964.2
Q59RI1	XP_712413.1
Q5ADU3	XP_719845.1
A0A1D8PM01	XP_717096.2
Q5A852	XP_717966.1
A0A1D8PI93	XP_714440.2
A0A1D8PJC5	XP_019330836.1
A0A1D8PP61	XP_721914.2
A0A1D8PJ85	XP_721773.2
Q5AKU7	XP_722232.1
A0A1D8PK91	XP_714685.1
A0A1D8PTG5	XP_019331098.1
A0A1D8PLX6	XP_710086.2
Q5AED0	XP_720033.1
A0A1D8PGT8	XP_715321.2
Q5A348	XP_716254.1
A0A1D8PE77	XP_717612.2
Q5AF52	XP_720506.1
Q5A6M7	XP_717390.1
A0A1D8PSM5	XP_717353.2
A0A1D8PM64	XP_717198.2
A0A1D8PL12	XP_713352.2
A0A1D8PKJ0	XP_716611.1
A0A1D8PGF0	XP_722492.2
Q5AIA2	XP_721450.1
A0A1D8PI73	XP_714443.1
A0A1D8PPR2	XP_716702.2
A0A1D8PDD2	XP_713593.2
A0A1D8PKV4	XP_719823.2
A0A1D8PSY0	XP_711980.2
A0A1D8PGR5	XP_722620.2
Q59WE5	XP_713870.1
A0A1D8PQD4	XP_712098.1
A0A1D8PE37	XP_716541.2
A0A1D8PDN5	XP_718481.2
A0A1D8PDE2	XP_713581.2
A0A1D8PJ68	XP_721796.1
A0A1D8PP00	XP_721843.1
A0A1D8PL85	XP_722739.2
A0A1D8PDY8	XP_718792.2
A0A1D8PSK4	XP_715130.1
A0A1D8PQY1	XP_721392.2
Q5AJB7	XP_721751.1
A0A1D8PQE8	XP_712402.2
A0A1D8PRQ0	XP_718644.2
A0A1D8PHG8	XP_714931.2
Q5A8M9	XP_710070.2
A0A1D8PDK2	XP_715848.2
Q5A4X4	XP_716810.1
A0A1D8PMP0	XP_715440.2
Q5ADN1	XP_719905.1
Q5A1Y2	XP_715792.1
A0A1D8PNB3	XP_714593.1
Q5A881	XP_717938.1
A0A1D8PPN8	XP_716730.2
A0A1D8PDG5	XP_710863.2
A0A1D8PK15	XP_710998.2
A0A1D8PIK8	XP_714545.2
A0A1D8PT15	XP_019331091.1
A0A1D8PRM6	XP_718694.1
A0A1D8PLY4	XP_720913.2
A0A1D8PKW1	XP_710933.1
Q59VN4	XP_711083.1
Q59VN4	XP_713663.1
A0A1D8PSH4	XP_019331072.1
A0A1D8PRM9	XP_718663.1
A0A1D8PU81	XP_719397.1
Q5ANP6	XP_723070.1
A0A1D8PGM4	XP_722611.2
Q5APE6	XP_723505.1
Q59N40	XP_711144.1
Q5A5P9	XP_717153.1
Q5AEH6	XP_719981.2
Q5AEH6	XP_719989.1
Q5AGY7	XP_721387.1
Q5AMN0	XP_722688.1
A0A1D8PP89	XP_721953.2
A0A1D8PEI2	XP_723463.1
A0A1D8PEY4	XP_019330691.1
Q59UP8	XP_713353.1
A0A1D8PCC8	XP_718976.1
A0A1D8PQQ9	XP_720313.1
Q5AGB5	XP_720572.1
A0A1D8PMM2	XP_715450.2
A0A1D8PEI4	XP_723470.2
A0A1D8PD86	XP_713666.2
Q5A5F0	XP_716955.1
A0A1D8PLW0	XP_709951.2
A0A1D8PEI9	XP_723454.2
A0A1D8PH58	XP_710600.2
Q5AB97	XP_719035.1
A0A1D8PKC9	XP_714693.1
A0A1D8PE50	XP_717591.2
A0A1D8PCL3	XP_712958.2
A0A1D8PMX7	XP_019330951.1
Q5AHK0	XP_720920.1
A0A1D8PHK1	XP_019330785.1
A0A1D8PTZ1	XP_716462.1
Q5A341	XP_716260.1
Q59YG7	XP_714533.1
Q5A512	XP_710133.2
A0A1D8PN39	XP_715724.1
A0A1D8PU02	XP_716477.1
Q5A6S2	XP_717345.1
Q5A1Z2	XP_715782.1
A0A1D8PHZ0	XP_714848.2
A0A1D8PJW6	XP_019330861.1
