XP_002550857.1	C5MGG2
XP_002549255.1	C5MBW0
XP_002550398.1	C5MF53
XP_002546065.1	C5M457
XP_002550087.1	C5ME92
XP_002545585.1	C5M2S7
XP_002548597.1	C5M922
XP_002548881.1	C5MAT6
XP_002547729.1	C5M558
XP_002549374.1	C5MC79
XP_002551206.1	C5MHF0
XP_002551186.1	C5MHD0
XP_002546471.1	C5MIQ6
XP_002551181.1	C5MHC5
XP_002549441.1	C5MDI6
XP_002549849.1	C5MD45
XP_002545913.1	C5M3Q5
XP_002550533.1	C5MFI8
XP_002550971.1	C5MGR5
XP_002546044.1	C5M436
XP_002547427.1	C5M7A2
XP_002551328.1	C5MHT3
XP_002550181.1	C5MEI6
XP_002547009.1	C5M634
XP_002546972.1	C5M5Z7
XP_002550943.1	C5MGN7
XP_002550192.1	C5MEJ7
XP_002548900.1	C5MAV4
XP_002545463.1	C5M2F5
XP_002546728.1	C5MJG3
XP_002551416.1	C5MI21
XP_002550158.1	C5MEG3
XP_002547123.1	C5M6E8
XP_002551370.1	C5MHX5
XP_002545837.1	C5M3H9
XP_002549709.1	C5MCQ5
XP_002548011.1	C5M9Z6
XP_002548817.1	C5MAM2
XP_002546538.1	C5MIX3
XP_002549640.1	C5MCI6
XP_002549265.1	C5MBX0
XP_002551363.1	C5MHW8
XP_002548349.1	C5M8C4
XP_002550214.1	C5MEL9
XP_002547988.1	C5M9X3
XP_002548321.1	C5M896
XP_002548077.1	C5MA62
XP_002549000.1	C5MB55
XP_002551253.1	C5MHJ7
XP_002548252.1	C5M827
XP_002548838.1	C5MAP3
XP_002549730.1	C5MCS6
XP_002549176.1	C5MBN1
XP_002545748.1	C5M390
XP_002551234.1	C5MHH8
XP_002547785.1	C5M5B4
XP_002550928.1	C5MGN3
XP_002550450.1	C5MFA5
XP_002550979.1	C5MGS3
XP_002545730.1	C5M372
XP_002545927.1	C5M3R9
XP_002546028.1	C5M420
XP_002551008.1	C5MGV2
XP_002548312.1	C5M887
XP_002545686.1	C5M328
XP_002550232.1	C5MEN7
XP_002548275.1	C5M850
XP_002549872.1	C5MD68
XP_002547881.1	C5M9L6
XP_002548702.1	C5M9C7
XP_004955923.1	K3ZWQ8
XP_004968760.1	K3XK25
XP_002549897.1	C5MD93
XP_002545875.1	C5M3L7
XP_002545369.1	C5M261
XP_002550433.1	C5MF88
XP_002549147.1	C5MBK2
XP_002549802.1	C5MCZ8
XP_002546225.1	C5M4L7
XP_002548057.1	C5MA42
XP_002546933.1	C5M5V8
XP_002548955.1	C5MB10
XP_002550468.1	C5MFC3
XP_002546169.1	C5M4G1
XP_002548065.1	C5MA50
XP_002549118.1	C5MBH3
XP_002547034.1	C5M659
XP_002548884.1	C5MAT9
XP_004974066.1	K3YMV4
XP_002549645.1	C5MCJ1
XP_002545375.1	C5M267
XP_002547238.1	C5M6R3
XP_002550563.1	C5MFL8
XP_002549190.1	C5MBP5
XP_002549970.1	C5MDG6
XP_002550871.1	C5MGH6
XP_004983388.1	K4AGT3
XP_002546695.1	C5MJD0
XP_002551080.1	C5MH24
XP_002546510.1	C5MIU5
XP_002548929.1	C5MAY4
XP_002549794.1	C5MCZ0
XP_002549003.1	C5MB58
XP_004985821.1	K4AD00
XP_002548002.1	C5M9Y7
XP_002549409.1	C5MCB4
XP_002551040.1	C5MGY4
XP_002551099.1	C5MH43
XP_002550009.1	C5ME14
XP_002545272.1	C5M1W4
XP_002545675.1	C5M317
XP_004983783.1	K4AED9
XP_002546616.1	C5MJ51
XP_002547958.1	C5M9U3
XP_002546516.1	C5MIV1
XP_002551287.1	C5MHP2
XP_002550881.1	C5MGI6
XP_002550438.1	C5MF93
XP_002551241.1	C5MHI5
XP_002549365.1	C5MC70
XP_002548020.1	C5MA05
XP_002547966.1	C5M9V1
XP_002548970.1	C5MB25
XP_002548550.1	C5M8X5
XP_002545827.1	C5M3G9
XP_002550790.1	C5MG95
XP_002548137.1	C5MAC2
XP_002550794.1	C5MG99
XP_002546505.1	C5MIU0
XP_002549576.1	C5MDX1
XP_002551461.1	C5MI66
XP_002548758.1	C5MAG4
XP_002547960.1	C5M9U5
XP_002549357.1	C5MC62
XP_002463273.1	C5X3F2
XP_711485.1	Q59P43
XP_012700155.1	K3Z6X7
XP_002549333.1	C5MC38
XP_014660261.1	K3ZQX2
XP_002551161.1	C5MHA5
XP_004981618.1	K4AFP8
XP_008660541.1	K7VHQ0
XP_002546956.1	C5M5Y1
XP_004978303.1	K3YCZ8
XP_002545224.1	C5M1R6
XP_002545478.1	C5M2H0
XP_002545861.1	C5M3K3
XP_002549807.1	C5MD03
XP_002551146.1	C5MH90
XP_002550083.1	C5ME88
XP_002547506.1	C5M7I1
XP_002549127.1	C5MBI2
XP_002546913.1	C5M5T8
XP_002551348.1	C5MHV3
XP_002546738.1	C5MJH3
XP_002550314.1	C5MEW9
XP_002549346.1	C5MC51
XP_002548968.1	C5MB23
XP_002545564.1	C5M2Q6
XP_002547147.1	C5M6H2
XP_002547816.1	C5M5E5
XP_002548211.1	C5M7Y6
XP_002547823.1	C5MJL2
XP_002548802.1	C5MAK7
XP_002547822.1	C5MJL1
XP_004984017.1	K4AFL9
XP_002549777.1	C5MCX3
XP_002546749.1	C5MJI4
XP_002547889.1	C5M9M4
XP_002545758.1	C5M3A0
XP_002548264.1	C5M839
XP_002549216.1	C5MBS1
XP_002549652.1	C5MCJ8
XP_002546924.1	C5M5U9
XP_002546765.1	C5MJK0
XP_002548670.1	C5M995
YP_009192272.1	A0A0S2RKU5
XP_002549005.1	C5MB60
XP_002550444.1	C5MF99
XP_002549574.1	C5MDW9
XP_002550847.1	C5MGF2
XP_002548381.1	C5M8F6
XP_002545979.1	C5M3X1
XP_002548574.1	C5M8Z9
XP_002547759.1	C5M588
XP_002547764.1	C5M593
XP_002548832.1	C5MAN7
XP_002547721.1	C5M550
XP_002551197.1	C5MHE1
XP_002549855.1	C5MD51
XP_002549656.1	C5MCK2
XP_002551165.1	C5MHA9
XP_002548315.1	C5M890
XP_002551134.1	C5MH78
XP_002549791.1	C5MCY7
XP_002545505.1	C5M2J7
XP_002548559.1	C5M8Y4
XP_002545775.1	C5M3B7
XP_002547967.1	C5M9V2
XP_002548236.1	C5M811
XP_002545574.1	C5M2R6
XP_002551200.1	C5MHE4
XP_002547885.1	C5M9M0
XP_002551140.1	C5MH84
XP_002547882.1	C5M9L7
XP_002548409.1	C5M8I4
XP_002548406.1	C5M8I1
XP_002546491.1	C5MIS6
XP_002551168.1	C5MHB2
XP_002545825.1	C5M3G7
XP_002546360.1	C5MIE5
XP_002545870.1	C5M3L2
XP_002551002.1	C5MGU6
XP_002551057.1	C5MH01
XP_002545859.1	C5M3K1
YP_008474987.1	S5TFR0
XP_002548996.1	C5MB51
XP_002545473.1	C5M2G5
XP_002548403.1	C5M8H8
XP_002547659.1	C5M4Y7
XP_002549070.1	C5MBC5
XP_002549228.1	C5MBT3
XP_002550217.1	C5MEM2
XP_002545960.1	C5M3V2
XP_002550844.1	C5MGE9
XP_002548231.1	C5M806
XP_002548885.1	C5MAU0
XP_002550396.1	C5MF51
XP_002550537.1	C5MFJ2
XP_002550446.1	C5MFA1
XP_002548227.1	C5M802
XP_002550643.1	C5MFU8
XP_002545303.1	C5M1Z5
XP_002547983.1	C5M9W8
XP_002546520.1	C5MIV5
XP_002549076.1	C5MBD1
XP_002546257.1	C5M4P9
XP_002549080.1	C5MBD5
XP_002549010.1	C5MB65
XP_002549012.1	C5MB67
XP_002546907.1	C5M5T2
XP_002548669.1	C5M994
XP_002545641.1	C5M2Y3
XP_002550902.1	C5MGK7
XP_002548939.1	C5MAZ4
XP_002550061.1	C5ME66
XP_002548661.1	C5M986
XP_002548745.1	C5MAF0
XP_002548487.1	C5M8R2
XP_002548213.1	C5M7Y8
XP_002549617.1	C5MCG3
XP_002545559.1	C5M2Q1
XP_002551143.1	C5MH87
XP_002549573.1	C5MDW8
XP_002545319.1	C5M211
XP_002548029.1	C5MA14
XP_002546518.1	C5MIV3
XP_002548555.1	C5M8Y0
XP_002549896.1	C5MD92
XP_002545262.1	C5M1V4
XP_002545379.1	C5M271
XP_002548255.1	C5M830
XP_002547103.1	C5M6C8
XP_002550651.1	C5MFV6
XP_002546159.1	C5M4F1
XP_002549527.1	C5MDS2
XP_002546906.1	C5M5T1
XP_002422064.1	B9WLV3
XP_002545804.1	C5M3E6
XP_002548737.1	C5MAE2
XP_002548412.1	C5M8I7
XP_002546455.1	C5MIP0
XP_002551462.1	C5MI67
XP_002551378.1	C5MHY3
XP_002548600.1	C5M925
XP_002546492.1	C5MIS7
XP_002547982.1	C5M9W7
XP_002549337.1	C5MC42
XP_002547249.1	C5M6S4
XP_002550632.1	C5MFT7
XP_002549891.1	C5MD87
XP_002546918.1	C5M5U3
XP_002546604.1	C5MJ39
XP_002550062.1	C5ME67
XP_002546601.1	C5MJ36
XP_002547287.1	C5M6W2
XP_002546863.1	C5M5N8
XP_002546457.1	C5MIP2
XP_002545820.1	C5M3G2
XP_002547046.1	C5M671
XP_002549840.1	C5MD36
XP_002547618.1	C5M4U7
XP_002549229.1	C5MBT4
XP_002551225.1	C5MHG9
XP_002550387.1	C5MF42
XP_002548993.1	C5MB48
XP_002545770.1	C5M3B2
XP_002549380.1	C5MC85
XP_002546621.1	C5MJ56
XP_002550687.1	C5MFZ2
XP_002548401.1	C5M8H6
XP_002546176.1	C5M4G8
XP_002546108.1	C5M4A0
XP_002546519.1	C5MIV4
XP_002551183.1	C5MHC7
XP_002545555.1	C5M2P7
XP_001524071.1	A5E5J5
XP_002551048.1	C5MGZ2
XP_002549834.1	C5MD30
XP_002549384.1	C5MC89
XP_002548541.1	C5M8W6
XP_002546859.1	C5M5N4
XP_002551122.1	C5MH66
XP_002549230.1	C5MBT5
XP_002547052.1	C5M677
XP_002545973.1	C5M3W5
XP_002551177.1	C5MHC1
XP_002551266.1	C5MHL0
XP_002546674.1	C5MJA9
XP_002547726.1	C5M555
XP_002547984.1	C5M9W9
XP_002546916.1	C5M5U1
XP_002551270.1	C5MHM5
XP_002546256.1	C5M4P8
XP_002549501.1	C5MDP6
XP_002545314.1	C5M206
XP_002545643.1	C5M2Y5
XP_002550033.1	C5ME38
XP_002547023.1	C5M648
XP_002546603.1	C5MJ38
XP_002546742.1	C5MJH7
XP_002550650.1	C5MFV5
XP_002548216.1	C5M7Z1
XP_002548318.1	C5M893
XP_002549664.1	C5MCL0
XP_002546606.1	C5MJ41
XP_002546454.1	C5MIN9
XP_002546062.1	C5M454
XP_002547948.1	C5M9T3
XP_002551179.1	C5MHC3
XP_002548073.1	C5MA58
XP_002546089.1	C5M481
XP_002550850.1	C5MGF5
XP_002548699.1	C5M9C4
XP_002547050.1	C5M675
XP_002550846.1	C5MGF1
XP_002545860.1	C5M3K2
XP_002548554.1	C5M8X9
XP_002549635.1	C5MCI1
XP_002546680.1	C5MJB5
XP_002549770.1	C5MCW6
XP_002545317.1	C5M209
XP_002547996.1	C5M9Y1
XP_002549378.1	C5MC83
XP_002545660.1	C5M302
XP_002548576.1	C5M900
XP_002548908.1	C5MAW3
XP_002547028.1	C5M653
XP_002549184.1	C5MBN9
XP_002546110.1	C5M4A2
XP_002548066.1	C5MA51
XP_012700910.1	K3XUS6
XP_002548671.1	C5M996
XP_002548112.1	C5MA97
XP_002548556.1	C5M8Y1
XP_002546456.1	C5MIP1
XP_002550864.1	C5MGG9
XP_004960811.1	K3ZA87
XP_002550242.1	C5MEP7
XP_014660650.1	K3XHS1
XP_002549001.1	C5MB56
XP_002550527.1	C5MFI2
XP_002549500.1	C5MDP5
XP_004982202.1	K4A833
XP_002549890.1	C5MD86
XP_004952289.1	K3YSZ3
XP_002547872.1	C5M9K7
XP_002548373.1	C5M8E8
XP_002546559.1	C5MIZ4
XP_002550534.1	C5MFI9
XP_002549002.1	C5MB57
XP_002545857.1	C5M3J9
XP_002547819.1	C5MJK8
XP_004951761.1	K3YSW5
XP_002546260.1	C5M4Q1
XP_002549175.1	C5MBN0
XP_002551097.1	C5MH41
XP_002548279.1	C5M854
XP_002548226.1	C5M801
XP_004953020.1	K3YQ87
WP_039338788.1	A0A0A6W6W1
XP_002418725.1	B9WCA8
XP_004960042.1	K3Z4P8
XP_015613151.1	Q8VWJ6
XP_002550447.1	C5MFA2
XP_001528528.1	A5DUL2
XP_004953009.1	K3YQH7
XP_012702430.1	K3YQE5
XP_002546900.1	C5M5S5
XP_002548675.1	C5M9A0
XP_002547134.1	C5M6F9
XP_002551453.1	C5MI58
XP_002548288.1	C5M863
XP_015644217.1	Q653F6
XP_002546623.1	C5MJ58
XP_002550808.1	C5MGB3
XP_004974235.1	K3YHJ6
XP_004974931.1	K3YMD5
XP_004983692.1	K4A4U0
XP_002549858.1	C5MD54
XP_002548507.1	C5M8T2
XP_001487749.1	A5DCX1
XP_002547634.1	C5M4W3
XP_002548595.1	C5M920
XP_002550088.1	C5ME93
XP_002547891.1	C5M9M6
XP_002550686.1	C5MFZ1
XP_002547323.1	C5M6Z8
XP_002548543.1	C5M8W8
XP_004965186.1	K3XVZ8
XP_002548672.1	C5M997
XP_002545452.1	C5M2E4
XP_002547207.1	C5M6N2
XP_004976858.1	K3Y871
XP_004979339.1	K3ZIT8
XP_012699547.1	K3ZXY0
XP_002550011.1	C5ME16
XP_004961548.1	K3Z3I7
XP_004970637.1	K3XHJ2
XP_004956006.1	K3ZQU5
XP_004953445.1	K3Z090
NP_001313496.1	B7ZZR3
XP_004976274.1	K3Y4R8
XP_004982886.1	K4A4U3
XP_004961917.1	K3Z7C7
XP_004964894.1	K3Y0A9
XP_002548402.1	C5M8H7
XP_002546605.1	C5MJ40
XP_002547616.1	C5M4U5
XP_002546194.1	C5M4I6
XP_002550754.1	C5MG59
XP_002549705.1	C5MCQ1
XP_004965724.1	K3XWE2
XP_006655832.2	J3MBN1
XP_002550773.1	C5MG78
XP_001525717.1	A5E208
XP_002547932.1	C5M9R7
XP_002546865.1	C5M5P0
XP_002546186.1	C5M4H8
XP_002545499.1	C5M2J1
XP_002547620.1	C5M4U8
XP_002545819.1	C5M3G1
XP_001485809.1	A5DDX9
XP_002549801.1	C5MCZ7
XP_002548683.1	C5M9A8
XP_002549575.1	C5MDX0
XP_002549494.1	C5MDN9
XP_002547915.1	C5M9Q0
XP_002545497.1	C5M2I9
XP_004985664.1	K4A7N6
XP_004961562.1	K3Z5V3
XP_002548911.1	C5MAW6
XP_004951788.1	K3YV35
XP_002546909.1	C5M5T4
XP_002550045.1	C5ME50
XP_004977302.1	K3YCI3
XP_004970745.1	K3XDQ9
XP_001525519.1	A5DWE2
XP_002547879.1	C5M9L4
XP_004959672.1	K3ZTY4
XP_002548040.1	C5MA25
XP_004957480.1	K3ZVH7
XP_002548855.1	C5MAR0
XP_002546333.1	C5MIB8
XP_003574667.1	I1I815
XP_004981595.1	K4A593
XP_004962571.1	K3Z566
XP_002546345.1	C5MID0
XP_002549766.1	C5MCW2
XP_002551439.1	C5MI44
XP_002550987.1	C5MGT1
XP_002549231.1	C5MBT6
XP_002548907.1	C5MAW2
XP_007373966.1	G3AI68
XP_002548650.1	C5M975
XP_002545573.1	C5M2R5
XP_002545903.1	C5M3P5
XP_004968762.1	K3XRC5
XP_002547733.1	C5M562
XP_002548350.1	C5M8C5
XP_002549489.1	C5MDN4
XP_002549174.1	C5MBM9
XP_002546635.1	C5MJ70
XP_002550449.1	C5MFA4
XP_002546954.1	C5M5X9
XP_002546741.1	C5MJH6
XP_002546120.1	C5M4B2
NP_001147887.1	B6SVZ4
XP_002548209.1	C5M7Y4
XP_004956770.1	K3ZPY3
XP_002548666.1	C5M991
XP_004961073.1	K3Z3U6
XP_002549164.1	C5MBL9
XP_004986804.1	K4AIK4
NP_001159328.1	C0HFL0
XP_002546622.1	C5MJ57
XP_002550113.1	C5MEB8
XP_004970848.1	K3XF99
NP_001105833.1	Q49HD7
XP_002547195.1	C5M6M0
XP_002547053.1	C5M678
XP_002547981.1	C5M9W6
XP_002604396.1	C3YGT6
XP_004964322.1	K3XY32
XP_002550395.1	C5MF50
XP_721729.1	Q5AJD9
XP_002548158.1	C5M7T3
XP_002549130.1	C5MBI5
XP_001525744.1	A5E235
XP_002545506.1	C5M2J8
XP_002549662.1	C5MCK8
XP_004965231.1	K3XVG9
XP_014660777.1	K3XE24
XP_004969834.1	K3XEE5
XP_001647422.1	A7TDU4
XP_002549954.1	C5MDF0
YP_008474938.1	S5TE96
XP_015610764.1	A0A0N7KQI0
XP_002548825.1	C5MAN0
XP_002547047.1	C5M672
XP_004975415.1	K3Y5I5
XP_004978442.1	K3ZHL4
XP_002548243.1	C5M818
XP_002547968.1	C5M9V3
XP_002545556.1	C5M2P8
XP_002551180.1	C5MHC4
XP_012703023.1	K3YC50
XP_015624171.1	Q6K949
XP_004970787.1	K3XFJ9
XP_002546578.1	C5MJ13
XP_002549123.1	C5MBH8
XP_012070835.1	A0A067KSD7
XP_004976440.1	K3Y8A1
XP_004972154.1	K3XTE5
XP_002550831.1	C5MGD6
WP_039341119.1	A0A0A6W8W7
XP_004970540.1	K3XER2
XP_004957336.1	K3ZV72
XP_002549181.1	C5MBN6
XP_014660400.1	K3ZFD1
XP_002547817.1	C5MJK6
XP_004969804.1	K3XLY6
XP_002550629.1	C5MFT4
XP_014660256.1	K3ZQT1
XP_004960952.1	K3Z437
XP_010229544.1	I1GQL1
XP_004976649.1	K3Y7V6
XP_004981962.1	K4AB20
XP_004976841.1	K3Y9G5
XP_002549524.1	C5MDR8
XP_004960255.1	K3Z8J4
XP_004984135.1	K4A9N7
XP_004966318.1	K3XYW9
XP_004953436.1	K3YUU3
XP_004981987.1	K4A5D0
XP_002550448.1	C5MFA3
XP_002550900.1	C5MGK5
XP_002547235.1	C5M6R0
XP_002547986.1	C5M9X0
XP_002550233.1	C5MEN8
XP_002549584.1	C5MDX9
XP_002546860.1	C5M5N5
XP_002549837.1	C5MD33
XP_015613828.1	Q8LNH6
WP_006119898.1	H3RJJ8
XP_002549903.1	C5MD99
XP_004973454.1	K3YLL1
XP_004982442.1	K4AEG8
XP_002547989.1	C5M9X4
XP_004956612.1	K3ZVA0
XP_004965788.1	K3XYM4
NP_001145198.1	B6U8Q8
XP_002549495.1	C5MDP0
XP_004981956.1	K4A7H7
XP_002548836.1	C5MAP1
XP_002550865.1	C5MGH0
WP_058722047.1	A0A0U2TIX5
XP_002547548.1	C5M7M3
XP_004978268.1	K3YEL7
WP_056484292.1	A0A0Q4ELK2
XP_002447494.1	C5YCM0
XP_002445987.1	C5YJR1
XP_002549671.1	C5MCL7
XP_002548735.1	C5M9G0
XP_004962892.1	K3Z4S7
XP_002547124.1	C5M6E9
XP_002547818.1	C5MJK7
XP_002548966.1	C5MB21
XP_002547776.1	C5M5A5
XP_002548598.1	C5M923
XP_004951461.1	K3YTB7
XP_004966266.1	K3XW25
XP_002437527.1	C5Z8V3
XP_013449308.1	A0A072UBW6
XP_002545725.1	C5M367
XP_002551046.1	C5MGZ0
XP_002551169.1	C5MHB3
XP_010087237.1	W9QJV3
XP_002549725.1	C5MCS1
XP_002551202.1	C5MHE6
XP_002549833.1	C5MD29
XP_002551245.1	C5MHI9
XP_001387991.2	A3GGR1
XP_004981808.1	K4ADR5
XP_004979265.1	K3ZIJ3
XP_012703197.1	K3Y5C0
NP_001150776.1	B6TTA5
WP_039342468.1	A0A0A6VYP6
XP_002548212.1	C5M7Y7
XP_002551096.1	C5MH40
XP_002417888.1	B9W9W8
XP_004979713.1	K3ZIN6
XP_004954223.1	K3YPA0
XP_015610996.1	Q67TR8
XP_002441786.1	Q84YF1
XP_004961447.1	K3Z3D8
XP_002551446.1	C5MI51
XP_002550458.1	C5MFB3
XP_004973615.1	K3YMJ4
XP_004955935.1	K3ZSN2
XP_002421747.1	B9WKY6
XP_002550730.1	C5MG35
XP_002419480.1	B9WEG3
XP_002421576.1	B9WJW0
XP_002545766.1	C5M3A8
XP_001526473.1	A5E094
XP_002550430.1	C5MF85
XP_002548408.1	C5M8I3
XP_002549241.1	C5MBU6
XP_002545791.1	C5M3D3
XP_002546755.1	C5MJJ0
XP_002545510.1	C5M2K2
XP_008653464.1	A0A1D6IN03
XP_002548698.1	C5M9C3
NP_001130202.1	B4F8A8
XP_002549636.1	C5MCI2
XP_002549351.1	C5MC56
XP_002548995.1	C5MB50
XP_002546233.1	C5M4M5
XP_002551020.1	C5MGW4
XP_002546493.1	C5MIS8
XP_002545563.1	C5M2Q5
WP_036301699.1	W0Z970
XP_004960270.1	K3Z4U4
XP_004973031.1	K3YG88
XP_002550849.1	C5MGF4
XP_002548662.1	C5M988
XP_002548571.1	C5M8Z6
XP_002548565.1	C5M8Z0
XP_002548868.1	C5MAS3
XP_004953781.1	K3YQV1
XP_004985152.1	K4A968
XP_004955444.1	K3ZQ97
XP_004984446.1	K4A849
XP_002547273.1	C5M6U8
XP_004978753.1	K3ZHT9
XP_002551047.1	C5MGZ1
XP_002545879.1	C5M3M1
XP_002547025.1	C5M649
NP_001183559.1	C4J8S7
XP_004956012.1	K3ZR28
XP_002550035.1	C5ME40
XP_004961757.1	K3ZE67
XP_004971057.1	K3XI36
XP_004954237.1	K3YVB0
XP_002423001.1	E0VA57
XP_002548220.1	C5M7Z5
XP_002546094.1	C5M486
XP_004960024.1	K3Z3A2
XP_002548912.1	C5MAW7
XP_002548978.1	C5MB33
NP_001106060.1	A7KVC2
XP_004972860.1	K3YJM9
XP_002551127.1	C5MH71
XP_008661578.1	A0A1D6KEZ7
XP_004975022.1	K3Y9I9
XP_002548712.1	C5M9D7
XP_002551184.1	C5MHC8
XP_002548229.1	C5M804
WP_039339203.1	A0A0A6W725
XP_002549108.1	C5MBG3
XP_002550842.1	C5MGE7
XP_002551264.1	C5MHK8
XP_012703119.1	K3Y530
XP_002460807.1	C5XAQ2
XP_004961415.1	K3Z657
XP_004952671.1	K3YWN6
XP_006652670.1	J3M0L1
XP_004975385.1	K3Y673
XP_002548664.1	C5M989
XP_004976552.1	K3Y6Q2
XP_014654441.1	A0A081CLF3
XP_002548887.1	C5MAU2
XP_004958362.1	K3ZQB7
XP_013450573.1	A0A072U5E2
XP_004976111.1	K3Y678
XP_012701002.1	K3XVC1
XP_004984657.1	K4A8Q2
XP_002545808.1	C5M3F0
WP_033741411.1	A0A0A6W6F0
XP_002546744.1	C5MJH9
XP_002545790.1	C5M3D2
XP_002422112.1	B9WM01
XP_004978184.1	K3Y6Q7
XP_004982582.1	K4AL86
XP_004957278.1	K3ZQA0
XP_004961941.1	K3Z717
XP_004978851.1	K3ZNI6
XP_004955692.1	K3ZQE5
XP_002550767.1	C5MG72
XP_004976964.1	K3Y5M5
XP_004966258.1	K3XX12
XP_002547243.1	C5M6R8
XP_001526253.1	A5DZM4
XP_002548960.1	C5MB15
WP_046133899.1	A0A0F5LVF4
WP_055841233.1	A0A0Q4GBQ0
XP_002546768.1	C5MJK3
XP_002549892.1	C5MD88
WP_063877151.1	A0A176UCM4
XP_002545788.1	C5M3D0
XP_002550472.1	C5MFC7
XP_002545799.1	C5M3E1
XP_004960969.1	K3Z3F1
XP_002549585.1	C5MDY0
XP_002452325.1	C5XVN5
XP_012702672.1	K3Y5C5
WP_043059689.1	A0A0D1K6T8
WP_043059689.1	A0A160J685
XP_004957206.1	K3ZU47
XP_012702709.1	K3Y8F8
XP_008652236.1	A0A1D6HX33
XP_004976636.1	K3Y7N8
XP_004976783.2	K3Y897
XP_004973709.1	K3YHP1
XP_002444101.1	C5YJH7
WP_063881323.1	A0A176UDB2
XP_018212432.1	A0A1B7SMH4
XP_004954110.1	K3YYV4
XP_002548823.1	C5MAM8
XP_002549433.1	C5MCD8
XP_003568467.1	I1HJH5
XP_002548599.1	C5M924
XP_004960991.1	K3Z5X4
NP_001131692.1	B4FDL9
XP_003589000.1	G7I9Z0
XP_010227561.1	I1GLI2
XP_002549432.1	C5MCD7
XP_002459366.1	C5X9N4
XP_002442656.1	C5YQ25
