C5MGG2	ctp:CTRG_05155
C5M4I7	ctp:CTRG_00977
C5MFH6	ctp:CTRG_04819
C5MFY0	ctp:CTRG_04973
C5MGC6	ctp:CTRG_05119
C5MDN5	ctp:CTRG_03787
C5M832	ctp:CTRG_02554
C5ME25	ctp:CTRG_04317
C5M3F6	ctp:CTRG_00595
C5M9J9	ctp:CTRG_02161
C5M4B4	ctp:CTRG_00904
C5MH56	ctp:CTRG_05410
C5MHY7	ctp:CTRG_05680
C5MI27	ctp:CTRG_05720
C5MGE2	ctp:CTRG_05135
C5M3C8	ctp:CTRG_00567
C5MDR7	ctp:CTRG_03819
C5M7X9	ctp:CTRG_02501
C5MB72	ctp:CTRG_03314
C5MIY6	ctp:CTRG_06029
C5M6I1	ctp:CTRG_01462
C5MGB4	ctp:CTRG_05107
C5M5I8	ctp:CTRG_01118
C5MCT5	ctp:CTRG_04036
C5MDB4	ctp:CTRG_04215
C5MCH7	ctp:CTRG_03928
C5MEA3	ctp:CTRG_04395
C5M3W0	ctp:CTRG_00749
K3Z4R4	sita:101754852
C5M4I3	ctp:CTRG_00973
C5MA29	ctp:CTRG_02341
C5MB98	ctp:CTRG_03340
B9WG04	cdu:CD36_42960
C5M800	ctp:CTRG_02522
C5M5Q0	ctp:CTRG_01180
C5ME75	ctp:CTRG_04367
C5M9E5	ctp:CTRG_03017
C5M3D7	ctp:CTRG_00576
C5M545	ctp:CTRG_02023
C5MG73	ctp:CTRG_05066
C5MFJ6	ctp:CTRG_04839
C5M626	ctp:CTRG_01307
C5M4G3	ctp:CTRG_00953
C5M4V4	ctp:CTRG_01932
C5MEY5	ctp:CTRG_04628
C5M3J5	ctp:CTRG_00634
C5M8N8	ctp:CTRG_02760
C5M7H2	ctp:CTRG_01804
C5M9S6	ctp:CTRG_02238
C5MF49	ctp:CTRG_04692
C5MBM1	ctp:CTRG_03463
C5M861	ctp:CTRG_02583
C5M576	ctp:CTRG_02054
C5M873	ctp:CTRG_02595
C5M9B7	ctp:CTRG_02989
B9WIN3	cdu:CD36_61740
C5M6G0	ctp:CTRG_01441
C5M3L3	ctp:CTRG_00652
C5M7M4	ctp:CTRG_01856
C5MB95	ctp:CTRG_03337
C5M401	ctp:CTRG_00790
C5MEP1	ctp:CTRG_04534
C5M4P5	ctp:CTRG_01035
C5M937	ctp:CTRG_02909
C5MBZ3	ctp:CTRG_03585
C5M8S0	ctp:CTRG_02792
C5M8E7	ctp:CTRG_02669
C5M345	ctp:CTRG_00484
C5M7M1	ctp:CTRG_01853
C5MIW5	ctp:CTRG_06008
C5MBW0	ctp:CTRG_03552
C5MF53	ctp:CTRG_04696
C5M457	ctp:CTRG_00846
C5ME92	ctp:CTRG_04384
C5M2S7	ctp:CTRG_00366
C5M922	ctp:CTRG_02894
C5MAT6	ctp:CTRG_03178
C5M558	ctp:CTRG_02036
C5MC79	ctp:CTRG_03671
C5MHF0	ctp:CTRG_05504
C5MHD0	ctp:CTRG_05484
C5MIQ6	ctp:CTRG_05949
C5MHC5	ctp:CTRG_05479
C5MDI6	ctp:CTRG_03738
C5MD45	ctp:CTRG_04146
C5M3Q5	ctp:CTRG_00694
C5MFI8	ctp:CTRG_04831
C5MGR5	ctp:CTRG_05269
C5M436	ctp:CTRG_00825
C5M7A2	ctp:CTRG_01734
C5MHT3	ctp:CTRG_05626
C5MEI6	ctp:CTRG_04479
C5M634	ctp:CTRG_01315
C5M5Z7	ctp:CTRG_01278
C5MGN7	ctp:CTRG_05241
C5MEJ7	ctp:CTRG_04490
C5MAV4	ctp:CTRG_03196
C5M2F5	ctp:CTRG_00244
C5MJG3	ctp:CTRG_06206
C5MI21	ctp:CTRG_05714
C5MEG3	ctp:CTRG_04456
C5M6E8	ctp:CTRG_01429
C5MHX5	ctp:CTRG_05668
C5M3H9	ctp:CTRG_00618
C5MCQ5	ctp:CTRG_04006
C5M9Z6	ctp:CTRG_02308
C5MAM2	ctp:CTRG_03114
C5MIX3	ctp:CTRG_06016
C5MCI6	ctp:CTRG_03937
C5MBX0	ctp:CTRG_03562
C5MHW8	ctp:CTRG_05661
C5M8C4	ctp:CTRG_02646
C5MEL9	ctp:CTRG_04512
C5M9X3	ctp:CTRG_02285
C5M896	ctp:CTRG_02618
C5MA62	ctp:CTRG_02374
C5MB55	ctp:CTRG_03297
C5MHJ7	ctp:CTRG_05551
C5M827	ctp:CTRG_02549
C5MAP3	ctp:CTRG_03135
C5MCS6	ctp:CTRG_04027
C5MBN1	ctp:CTRG_03473
C5M390	ctp:CTRG_00529
C5MHH8	ctp:CTRG_05532
C5M5B4	ctp:CTRG_02092
C5MGN3	ctp:CTRG_05226
C5MFA5	ctp:CTRG_04748
C5MGS3	ctp:CTRG_05277
C5M372	ctp:CTRG_00511
C5M3R9	ctp:CTRG_00708
C5M420	ctp:CTRG_00809
C5MGV2	ctp:CTRG_05306
C5M887	ctp:CTRG_02609
C5M328	ctp:CTRG_00467
C5MEN7	ctp:CTRG_04530
C5M850	ctp:CTRG_02572
C5MD68	ctp:CTRG_04169
C5M9L6	ctp:CTRG_02178
C5M9C7	ctp:CTRG_02999
K3ZWQ8	sita:101776278
K3XK25	sita:101765161
C5MD93	ctp:CTRG_04194
C5M3L7	ctp:CTRG_00656
C5M261	ctp:CTRG_00150
C5MF88	ctp:CTRG_04731
C5MBK2	ctp:CTRG_03444
C5MCZ8	ctp:CTRG_04099
C5M4L7	ctp:CTRG_01007
C5MA42	ctp:CTRG_02354
C5M5V8	ctp:CTRG_01239
C5MB10	ctp:CTRG_03252
C5MFC3	ctp:CTRG_04766
C5M4G1	ctp:CTRG_00951
C5MA50	ctp:CTRG_02362
C5MBH3	ctp:CTRG_03415
C5M659	ctp:CTRG_01340
C5MAT9	ctp:CTRG_03181
K3YMV4	sita:101754126
C5MCJ1	ctp:CTRG_03942
C5M267	ctp:CTRG_00156
C5M6R3	ctp:CTRG_01544
C5MFL8	ctp:CTRG_04861
C5MBP5	ctp:CTRG_03487
C5MDG6	ctp:CTRG_04267
C5MGH6	ctp:CTRG_05169
K4AGT3	sita:101768660
C5MJD0	ctp:CTRG_06173
C5MH24	ctp:CTRG_05378
C5MIU5	ctp:CTRG_05988
C5MAY4	ctp:CTRG_03226
C5MCZ0	ctp:CTRG_04091
C5MB58	ctp:CTRG_03300
K4AD00	sita:101772028
C5M9Y7	ctp:CTRG_02299
C5MCB4	ctp:CTRG_03706
C5MGY4	ctp:CTRG_05338
C5MH43	ctp:CTRG_05397
C5ME14	ctp:CTRG_04306
C5M1W4	ctp:CTRG_00053
C5M317	ctp:CTRG_00456
K4AED9	sita:101766913
C5MJ51	ctp:CTRG_06094
C5M9U3	ctp:CTRG_02255
C5MIV1	ctp:CTRG_05994
C5MHP2	ctp:CTRG_05585
C5MGI6	ctp:CTRG_05179
C5MF93	ctp:CTRG_04736
C5MHI5	ctp:CTRG_05539
C5MC70	ctp:CTRG_03662
C5MA05	ctp:CTRG_02317
C5M9V1	ctp:CTRG_02263
C5MB25	ctp:CTRG_03267
C5M8X5	ctp:CTRG_02847
C5M3G9	ctp:CTRG_00608
C5MG95	ctp:CTRG_05088
C5MAC2	ctp:CTRG_02434
C5MG99	ctp:CTRG_05092
C5MIU0	ctp:CTRG_05983
C5MDX1	ctp:CTRG_03873
C5MI66	ctp:CTRG_05759
C5MAG4	ctp:CTRG_03056
C5M9U5	ctp:CTRG_02257
C5MC62	ctp:CTRG_03654
C5X3F2	sbi:SORBI_02g040970
Q59P43	cal:CaO19.12948
Q59P43	cal:CaO19.5493
K3Z6X7	sita:101771448
C5MC38	ctp:CTRG_03630
C5MHA5	ctp:CTRG_05459
K4AFP8	sita:101771459
K7VHQ0	zma:103639585
C5M5Y1	ctp:CTRG_01262
K3YCZ8	sita:101777948
C5M1R6	ctp:CTRG_00005
C5M2H0	ctp:CTRG_00259
C5M3K3	ctp:CTRG_00642
C5MD03	ctp:CTRG_04104
C5MH90	ctp:CTRG_05444
C5ME88	ctp:CTRG_04380
C5M7I1	ctp:CTRG_01813
C5MBI2	ctp:CTRG_03424
C5M5T8	ctp:CTRG_01218
C5MHV3	ctp:CTRG_05646
C5MJH3	ctp:CTRG_06216
C5MEW9	ctp:CTRG_04612
C5MC51	ctp:CTRG_03643
C5MB23	ctp:CTRG_03265
C5M2Q6	ctp:CTRG_00345
C5M6H2	ctp:CTRG_01453
C5M5E5	ctp:CTRG_02123
C5M7Y6	ctp:CTRG_02508
C5MJL2	ctp:CTRG_06255
C5MAK7	ctp:CTRG_03099
C5MJL1	ctp:CTRG_06254
K4AFL9	sita:101756215
C5MCX3	ctp:CTRG_04074
C5MJI4	ctp:CTRG_06227
C5M9M4	ctp:CTRG_02186
C5M3A0	ctp:CTRG_00539
C5M839	ctp:CTRG_02561
C5MBS1	ctp:CTRG_03513
C5MCJ8	ctp:CTRG_03949
C5M5U9	ctp:CTRG_01230
C5MJK0	ctp:CTRG_06243
C5M995	ctp:CTRG_02967
C5MB60	ctp:CTRG_03302
C5MF99	ctp:CTRG_04742
C5MDW9	ctp:CTRG_03871
C5MGF2	ctp:CTRG_05145
C5M8F6	ctp:CTRG_02678
C5M3X1	ctp:CTRG_00760
C5M8Z9	ctp:CTRG_02871
C5M588	ctp:CTRG_02066
C5M593	ctp:CTRG_02071
C5MAN7	ctp:CTRG_03129
C5M550	ctp:CTRG_02028
C5MHE1	ctp:CTRG_05495
C5MD51	ctp:CTRG_04152
C5MCK2	ctp:CTRG_03953
C5MHA9	ctp:CTRG_05463
C5M890	ctp:CTRG_02612
C5MH78	ctp:CTRG_05432
C5MCY7	ctp:CTRG_04088
C5M2J7	ctp:CTRG_00286
C5M8Y4	ctp:CTRG_02856
C5M3B7	ctp:CTRG_00556
C5M9V2	ctp:CTRG_02264
C5M811	ctp:CTRG_02533
C5M2R6	ctp:CTRG_00355
C5MHE4	ctp:CTRG_05498
C5M9M0	ctp:CTRG_02182
C5MH84	ctp:CTRG_05438
C5M9L7	ctp:CTRG_02179
C5M8I4	ctp:CTRG_02706
C5M8I1	ctp:CTRG_02703
C5MIS6	ctp:CTRG_05969
C5MHB2	ctp:CTRG_05466
C5M3G7	ctp:CTRG_00606
C5MIE5	ctp:CTRG_05838
C5M3L2	ctp:CTRG_00651
C5MGU6	ctp:CTRG_05300
C5MH01	ctp:CTRG_05355
C5M3K1	ctp:CTRG_00640
C5MB51	ctp:CTRG_03293
C5M2G5	ctp:CTRG_00254
C5M8H8	ctp:CTRG_02700
C5M4Y7	ctp:CTRG_01965
C5MBC5	ctp:CTRG_03367
C5MBT3	ctp:CTRG_03525
C5MEM2	ctp:CTRG_04515
C5M3V2	ctp:CTRG_00741
C5MGE9	ctp:CTRG_05142
C5M806	ctp:CTRG_02528
C5MAU0	ctp:CTRG_03182
C5MF51	ctp:CTRG_04694
C5MFJ2	ctp:CTRG_04835
C5MFA1	ctp:CTRG_04744
C5M802	ctp:CTRG_02524
C5MFU8	ctp:CTRG_04941
C5M1Z5	ctp:CTRG_00084
C5M9W8	ctp:CTRG_02280
C5MIV5	ctp:CTRG_05998
C5MBD1	ctp:CTRG_03373
C5M4P9	ctp:CTRG_01039
C5MBD5	ctp:CTRG_03377
C5MB65	ctp:CTRG_03307
C5MB67	ctp:CTRG_03309
C5M5T2	ctp:CTRG_01212
C5M994	ctp:CTRG_02966
C5M2Y3	ctp:CTRG_00422
C5MGK7	ctp:CTRG_05200
C5MAZ4	ctp:CTRG_03236
C5ME66	ctp:CTRG_04358
C5M986	ctp:CTRG_02958
C5MAF0	ctp:CTRG_03042
C5M8R2	ctp:CTRG_02784
C5M7Y8	ctp:CTRG_02510
C5MCG3	ctp:CTRG_03914
C5M2Q1	ctp:CTRG_00340
C5MH87	ctp:CTRG_05441
C5MDW8	ctp:CTRG_03870
C5M211	ctp:CTRG_00100
C5MA14	ctp:CTRG_02326
C5MIV3	ctp:CTRG_05996
C5M8Y0	ctp:CTRG_02852
C5MD92	ctp:CTRG_04193
C5M1V4	ctp:CTRG_00043
C5M271	ctp:CTRG_00160
C5M830	ctp:CTRG_02552
C5M6C8	ctp:CTRG_01409
C5M6C8	ctp:CTRG_01413
C5MFV6	ctp:CTRG_04949
C5M4F1	ctp:CTRG_00941
C5MDS2	ctp:CTRG_03824
C5M5T1	ctp:CTRG_01211
B9WLV3	cdu:CD36_30500
C5M3E6	ctp:CTRG_00585
C5MAE2	ctp:CTRG_03034
C5M8I7	ctp:CTRG_02709
C5MIP0	ctp:CTRG_05933
C5MI67	ctp:CTRG_05760
C5MHY3	ctp:CTRG_05676
C5M925	ctp:CTRG_02897
C5MIS7	ctp:CTRG_05970
C5M9W7	ctp:CTRG_02279
C5MC42	ctp:CTRG_03634
C5M6S4	ctp:CTRG_01555
C5MFT7	ctp:CTRG_04930
C5MD87	ctp:CTRG_04188
C5M5U3	ctp:CTRG_01224
C5MJ39	ctp:CTRG_06082
C5ME67	ctp:CTRG_04359
C5MJ36	ctp:CTRG_06079
C5M6W2	ctp:CTRG_01593
C5M5N8	ctp:CTRG_01168
C5MIP2	ctp:CTRG_05935
C5M3G2	ctp:CTRG_00601
C5M671	ctp:CTRG_01352
C5MD36	ctp:CTRG_04137
C5M4U7	ctp:CTRG_01925
C5MBT4	ctp:CTRG_03526
C5MHG9	ctp:CTRG_05523
C5MF42	ctp:CTRG_04685
C5MB48	ctp:CTRG_03290
C5M3B2	ctp:CTRG_00551
C5MC85	ctp:CTRG_03677
C5MJ56	ctp:CTRG_06099
C5MFZ2	ctp:CTRG_04985
C5M8H6	ctp:CTRG_02698
C5M4G8	ctp:CTRG_00958
C5M4A0	ctp:CTRG_00890
C5MIV4	ctp:CTRG_05997
C5MHC7	ctp:CTRG_05481
C5M2P7	ctp:CTRG_00336
A5E5J5	lel:LELG_04884
C5MGZ2	ctp:CTRG_05346
C5MD30	ctp:CTRG_04131
C5MC89	ctp:CTRG_03681
C5M8W6	ctp:CTRG_02838
C5M5N4	ctp:CTRG_01164
C5MH66	ctp:CTRG_05420
C5MBT5	ctp:CTRG_03527
C5M677	ctp:CTRG_01358
C5M3W5	ctp:CTRG_00754
C5MHC1	ctp:CTRG_05475
C5MHL0	ctp:CTRG_05564
C5MJA9	ctp:CTRG_06152
C5M555	ctp:CTRG_02033
C5M9W9	ctp:CTRG_02281
C5M5U1	ctp:CTRG_01222
C5MHM5	ctp:CTRG_05568
C5M4P8	ctp:CTRG_01038
C5MDP6	ctp:CTRG_03798
C5M206	ctp:CTRG_00095
C5M2Y5	ctp:CTRG_00424
C5ME38	ctp:CTRG_04330
C5M648	ctp:CTRG_01329
C5MJ38	ctp:CTRG_06081
C5MJH7	ctp:CTRG_06220
C5MFV5	ctp:CTRG_04948
C5M7Z1	ctp:CTRG_02513
C5M893	ctp:CTRG_02615
C5MCL0	ctp:CTRG_03961
C5MJ41	ctp:CTRG_06084
C5MIN9	ctp:CTRG_05932
C5M454	ctp:CTRG_00843
C5M9T3	ctp:CTRG_02245
C5MHC3	ctp:CTRG_05477
C5MA58	ctp:CTRG_02370
C5M481	ctp:CTRG_00870
C5MGF5	ctp:CTRG_05148
C5M9C4	ctp:CTRG_02996
C5M675	ctp:CTRG_01356
C5MGF1	ctp:CTRG_05144
C5M3K2	ctp:CTRG_00641
C5M8X9	ctp:CTRG_02851
C5MCI1	ctp:CTRG_03932
C5MJB5	ctp:CTRG_06158
C5MCW6	ctp:CTRG_04067
C5M209	ctp:CTRG_00098
C5M209	ctp:CTRG_00108
C5M9Y1	ctp:CTRG_02293
C5MC83	ctp:CTRG_03675
C5M302	ctp:CTRG_00441
C5M900	ctp:CTRG_02872
C5MAW3	ctp:CTRG_03205
C5M653	ctp:CTRG_01334
C5MBN9	ctp:CTRG_03481
C5M4A2	ctp:CTRG_00892
C5MA51	ctp:CTRG_02363
K3XUS6	sita:101775958
C5M996	ctp:CTRG_02968
C5MA97	ctp:CTRG_02409
C5M8Y1	ctp:CTRG_02853
C5MIP1	ctp:CTRG_05934
C5MGG9	ctp:CTRG_05162
K3ZA87	sita:101753623
C5MEP7	ctp:CTRG_04540
K3XHS1	sita:106804318
C5MB56	ctp:CTRG_03298
C5MFI2	ctp:CTRG_04825
C5MDP5	ctp:CTRG_03797
K4A833	sita:101769727
C5MD86	ctp:CTRG_04187
K3YSZ3	sita:101758685
C5M9K7	ctp:CTRG_02169
C5M8E8	ctp:CTRG_02670
C5MIZ4	ctp:CTRG_06037
C5MFI9	ctp:CTRG_04832
C5MB57	ctp:CTRG_03299
C5M3J9	ctp:CTRG_00638
C5MJK8	ctp:CTRG_06251
K3YSW5	sita:101753287
C5M4Q1	ctp:CTRG_01041
C5MBN0	ctp:CTRG_03472
C5MH41	ctp:CTRG_05395
C5M854	ctp:CTRG_02576
C5M801	ctp:CTRG_02523
K3YQ87	sita:101757740
B9WCA8	cdu:CD36_22510
K3Z4P8	sita:101756317
Q8VWJ6	osa:4347994
C5MFA2	ctp:CTRG_04745
A5DUL2	lel:LELG_01048
K3YQH7	sita:101752887
K3YQE5	sita:105914643
C5M5S5	ctp:CTRG_01205
C5M9A0	ctp:CTRG_02972
C5M6F9	ctp:CTRG_01440
C5MI58	ctp:CTRG_05751
C5M863	ctp:CTRG_02585
Q653F6	osa:4341893
C5MJ58	ctp:CTRG_06101
C5MGB3	ctp:CTRG_05106
K3YHJ6	sita:101756283
K3YMD5	sita:101760209
K4A4U0	sita:101760538
C5MD54	ctp:CTRG_04155
C5M8T2	ctp:CTRG_02804
A5DCX1	pgu:PGUG_01126
C5M4W3	ctp:CTRG_01941
C5M920	ctp:CTRG_02892
C5ME93	ctp:CTRG_04385
C5M9M6	ctp:CTRG_02188
C5MFZ1	ctp:CTRG_04984
C5M6Z8	ctp:CTRG_01629
C5M8W8	ctp:CTRG_02840
K3XVZ8	sita:101753798
C5M997	ctp:CTRG_02969
C5M2E4	ctp:CTRG_00233
C5M6N2	ctp:CTRG_01513
K3Y871	sita:101770781
K3ZIT8	sita:101772107
K3ZXY0	sita:101769957
C5ME16	ctp:CTRG_04308
K3Z3I7	sita:101767419
K3XHJ2	sita:101765840
K3ZQU5	sita:101775199
K3Z090	sita:101756665
B7ZZR3	zma:100193407
K3Y4R8	sita:101768463
K4A4U3	sita:101768779
K3Z7C7	sita:101777816
K3Y0A9	sita:101772020
C5M8H7	ctp:CTRG_02699
C5MJ40	ctp:CTRG_06083
C5M4U5	ctp:CTRG_01923
C5M4I6	ctp:CTRG_00976
C5MG59	ctp:CTRG_05052
C5MCQ1	ctp:CTRG_04002
K3XWE2	sita:101780677
J3MBN1	obr:102716043
C5MG78	ctp:CTRG_05071
A5E208	lel:LELG_03645
C5M9R7	ctp:CTRG_02229
C5M5P0	ctp:CTRG_01170
C5M4H8	ctp:CTRG_00968
C5M2J1	ctp:CTRG_00280
C5M4U8	ctp:CTRG_01926
C5M3G1	ctp:CTRG_00600
A5DDX9	pgu:PGUG_01480
C5MCZ7	ctp:CTRG_04098
C5M9A8	ctp:CTRG_02980
C5MDX0	ctp:CTRG_03872
C5MDN9	ctp:CTRG_03791
C5M9Q0	ctp:CTRG_02212
C5M2I9	ctp:CTRG_00278
K4A7N6	sita:101781346
K3Z5V3	sita:101772392
C5MAW6	ctp:CTRG_03208
K3YV35	sita:101764910
C5M5T4	ctp:CTRG_01214
C5ME50	ctp:CTRG_04342
K3YCI3	sita:101774143
K3XDQ9	sita:101774217
A5DWE2	lel:LELG_03447
A5DWE2	lel:LELG_01678
C5M9L4	ctp:CTRG_02176
K3ZTY4	sita:101767143
C5MA25	ctp:CTRG_02337
K3ZVH7	sita:101777928
C5MAR0	ctp:CTRG_03152
C5MIB8	ctp:CTRG_05811
I1I815	bdi:100822352
K4A593	sita:101762554
K3Z566	sita:101783340
C5MID0	ctp:CTRG_05823
C5MCW2	ctp:CTRG_04063
C5MI44	ctp:CTRG_05737
C5MGT1	ctp:CTRG_05285
C5MBT6	ctp:CTRG_03528
C5MAW2	ctp:CTRG_03204
G3AI68	spaa:SPAPADRAFT_59805
C5M975	ctp:CTRG_02947
C5M2R5	ctp:CTRG_00354
C5M3P5	ctp:CTRG_00684
K3XRC5	sita:101766388
C5M562	ctp:CTRG_02040
C5M8C5	ctp:CTRG_02647
C5MDN4	ctp:CTRG_03786
C5MBM9	ctp:CTRG_03471
C5MJ70	ctp:CTRG_06113
C5MFA4	ctp:CTRG_04747
C5M5X9	ctp:CTRG_01260
C5MJH6	ctp:CTRG_06219
C5M4B2	ctp:CTRG_00902
B6SVZ4	zma:100281497
C5M7Y4	ctp:CTRG_02506
K3ZPY3	sita:101761680
C5M991	ctp:CTRG_02963
K3Z3U6	sita:101785471
C5MBL9	ctp:CTRG_03461
K4AIK4	sita:101771233
C0HFL0	zma:100304421
C5MJ57	ctp:CTRG_06100
C5MEB8	ctp:CTRG_04411
K3XF99	sita:101780559
Q49HD7	zma:732734
C5M6M0	ctp:CTRG_01501
C5M678	ctp:CTRG_01359
C5M9W6	ctp:CTRG_02278
C3YGT6	bfo:BRAFLDRAFT_58764
K3XY32	sita:101782412
C5MF50	ctp:CTRG_04693
Q5AJD9	cal:CaO19.1652
Q5AJD9	cal:CaO19.9221
C5M7T3	ctp:CTRG_02455
C5MBI5	ctp:CTRG_03427
A5E235	lel:LELG_03672
C5M2J8	ctp:CTRG_00287
C5MCK8	ctp:CTRG_03959
K3XVG9	sita:101772949
K3XE24	sita:101758943
K3XEE5	sita:101759626
A7TDU4	vpo:Kpol_1018p97
C5MDF0	ctp:CTRG_04251
A0A0N7KQI0	osa:9268343
C5MAN0	ctp:CTRG_03122
C5M672	ctp:CTRG_01353
K3Y5I5	sita:101772896
K3ZHL4	sita:101756442
C5M818	ctp:CTRG_02540
C5M9V3	ctp:CTRG_02265
C5M2P8	ctp:CTRG_00337
C5MHC4	ctp:CTRG_05478
K3YC50	sita:101769022
Q6K949	osa:4330001
K3XFJ9	sita:101755976
C5MJ13	ctp:CTRG_06056
C5MBH8	ctp:CTRG_03420
A0A067KSD7	jcu:105632965
K3Y8A1	sita:101765343
K3XTE5	sita:101756797
C5MGD6	ctp:CTRG_05129
K3XER2	sita:101761508
K3ZV72	sita:101755480
C5MBN6	ctp:CTRG_03478
K3ZFD1	sita:101786292
C5MJK6	ctp:CTRG_06249
K3XLY6	sita:101782578
C5MFT4	ctp:CTRG_04927
K3Z437	sita:101773339
I1GQL1	bdi:104582000
K3Y7V6	sita:101755077
K4AB20	sita:101776590
K3Y9G5	sita:101764409
C5MDR8	ctp:CTRG_03830
C5MDR8	ctp:CTRG_03820
K3Z8J4	sita:101772106
K4A9N7	sita:101767582
K3XYW9	sita:101776080
K3YUU3	sita:101753150
K4A5D0	sita:101786565
C5MFA3	ctp:CTRG_04746
C5MGK5	ctp:CTRG_05198
C5M6R0	ctp:CTRG_01541
C5M9X0	ctp:CTRG_02282
C5MEN8	ctp:CTRG_04543
C5MEN8	ctp:CTRG_04531
C5MDX9	ctp:CTRG_03881
C5M5N5	ctp:CTRG_01165
C5MD33	ctp:CTRG_04134
Q8LNH6	osa:4349023
C5MD99	ctp:CTRG_04200
K3YLL1	sita:101776529
K4AEG8	sita:101760391
C5M9X4	ctp:CTRG_02286
K3ZVA0	sita:101762507
K3XYM4	sita:101772953
B6U8Q8	zma:100278452
C5MDP0	ctp:CTRG_03792
K4A7H7	sita:101774298
C5MAP1	ctp:CTRG_03133
C5MGH0	ctp:CTRG_05163
A0A0U2TIX5	pkt:AT984_02865
C5M7M3	ctp:CTRG_01855
K3YEL7	sita:101757647
C5YCM0	sbi:SORBI_06g001980
C5YJR1	sbi:SORBI_07g029140
C5MCL7	ctp:CTRG_03968
C5M9G0	ctp:CTRG_03032
K3Z4S7	sita:101753370
C5M6E9	ctp:CTRG_01430
C5MJK7	ctp:CTRG_06250
C5MB21	ctp:CTRG_03263
C5M5A5	ctp:CTRG_02083
C5M923	ctp:CTRG_02895
K3YTB7	sita:101769099
K3XW25	sita:101754332
C5Z8V3	sbi:SORBI_10g028770
A0A072UBW6	mtr:MTR_7g075885
C5M367	ctp:CTRG_00506
C5MGZ0	ctp:CTRG_05344
C5MHB3	ctp:CTRG_05467
C5MCS1	ctp:CTRG_04022
C5MHE6	ctp:CTRG_05500
C5MD29	ctp:CTRG_04130
C5MHI9	ctp:CTRG_05543
A3GGR1	pic:PICST_28701
K4ADR5	sita:101780258
K3ZIJ3	sita:101772790
B6TTA5	zma:100284409
C5M7Y7	ctp:CTRG_02509
C5MH40	ctp:CTRG_05394
B9W9W8	cdu:CD36_12490
K3ZIN6	sita:101757401
K3YPA0	sita:101785421
Q67TR8	osa:4347252
Q84YF1	sbi:SORBI_08g002290
K3Z3D8	sita:101765233
C5MI51	ctp:CTRG_05744
C5MFB3	ctp:CTRG_04756
K3YMJ4	sita:101776664
K3ZSN2	sita:101782480
B9WKY6	cdu:CD36_26530
C5MG35	ctp:CTRG_05028
B9WEG3	cdu:CD36_85760
B9WJW0	cdu:CD36_73690
C5M3A8	ctp:CTRG_00547
A5E094	lel:LELG_03031
C5MF85	ctp:CTRG_04728
C5M8I3	ctp:CTRG_02705
C5MBU6	ctp:CTRG_03538
C5M3D3	ctp:CTRG_00572
C5MJJ0	ctp:CTRG_06233
C5M2K2	ctp:CTRG_00291
C5M9C3	ctp:CTRG_02995
B4F8A8	zma:100191296
C5MCI2	ctp:CTRG_03933
C5MCI2	ctp:CTRG_03941
C5MC56	ctp:CTRG_03648
C5MB50	ctp:CTRG_03292
C5M4M5	ctp:CTRG_01015
C5MGW4	ctp:CTRG_05318
C5MIS8	ctp:CTRG_05971
C5M2Q5	ctp:CTRG_00344
K3Z4U4	sita:101777808
K3YG88	sita:101760451
C5MGF4	ctp:CTRG_05175
C5MGF4	ctp:CTRG_05147
C5M988	ctp:CTRG_02960
