>awk '!_[$1]++ {print $2}' boidinii_best_blast.m8 | xclip | http://www.uniprot.org/uploadlists/ RefSeq Protein -> UniProtKB | Download Mapping Table

XP_018211803.1	A0A1B7SK73
XP_004984363.1	K4AF92
XP_004957672.1	K3ZWH0
XP_004961917.1	K3Z7C7
XP_004970848.1	K3XF99
XP_004986607.1	K4A596
XP_004976802.1	K3Y4M4
XP_004984053.1	K4AK60
XP_004975933.1	K3Y5N9
XP_004956935.1	K3ZSC8
XP_004956772.1	K4A459
XP_004969099.1	K3XEQ7
XP_004979735.1	K3ZI61
XP_004985406.1	K4AEP4
XP_004960024.1	K3Z3A2
XP_004981595.1	K4A593
XP_004962900.1	K3Z6D2
XP_004982054.1	K4A7S9
XP_004977389.1	K3Y972
XP_004977672.3	K3YCR2
XP_002420100.1	B9WGE6
XP_004981466.1	K4A707
XP_004976841.1	K3Y9G5
NP_001149833.1	B6TIK0
XP_004970201.1	K3XEE4
XP_004951531.1	K3YRF3
XP_004969131.1	K3XGC7
XP_012700910.1	K3XUS6
XP_004976877.1	K3Y7I3
XP_004973816.1	K3YGQ7
XP_004981745.1	K4AB74
NP_001141568.1	C0P5C0
NP_001136455.1	B4FIM1
XP_008656385.1	K7UWQ3
XP_003557241.1	I1GM45
XP_012698378.1	K4ACV9
XP_004982715.1	K4ABH7
XP_004985525.1	K4AJQ5
XP_004954110.1	K3YYV4
XP_004969946.1	K3XG54
NP_001168251.1	C0P3N0
XP_004970637.1	K3XHJ2
XP_004952779.1	K3YQM0
XP_004958980.1	K3ZQF8
XP_004966254.1	K3XVN3
XP_004972793.1	K3YIA1
XP_004961862.1	K3Z4X4
XP_004984066.1	K4AE40
XP_004953902.1	K3YT99
XP_004985995.1	K4A692
XP_004982658.1	K4A7E2
XP_004968399.1	K3XEK3
XP_004970125.1	K3XFA6
XP_004973615.1	K3YMJ4
XP_004965943.1	K3XVB1
XP_004958807.1	K3ZRZ7
XP_004983213.1	K4A745
XP_004952485.1	K3YRK7
XP_004965240.1	K3XVL1
XP_004981412.1	K4AF95
XP_004954282.1	K3YUZ5
XP_004962656.1	K3Z8H0
XP_008676840.1	K7U8W2
XP_004984018.1	K4A5Y3
NP_001141708.1	B4FXQ3
XP_013934743.1	W1QE54
XP_011122640.1	G1XDS8
XP_002777737.1	B5RV03
XP_002615958.1	C4Y4W5
XP_001642228.1	A7TTN5
XP_009154221.1	H6BQ90
XP_002418880.1	B9WCR3
XP_018213441.1	A0A1B7SQM5
XP_002547581.1	C5M7Q6
XP_002490087.1	C4QX33
XP_003956625.1	H2ASZ0
XP_002770268.1	B5RTR8
XP_006690161.1	G3BDF6
XP_002553495.1	C5DFV2
XP_014537370.1	K9H0P1
XP_013933321.1	W1Q8V4
XP_018209570.1	A0A1B7SDQ9
XP_013932658.1	W1Q791
XP_018208453.1	A0A1B7SAG8
XP_013935289.1	W1QF32
XP_018210852.1	A0A1B7SHE7
XP_018209081.1	A0A1B7SC99
