XP_002548198.1	C5M7X3
XP_002547595.1	C5M7S0
XP_002551468.1	C5MI73
XP_002549959.1	C5MDF5
XP_002550217.1	C5MEM2
XP_002547532.1	C5M7K7
XP_002551208.1	C5MHF2
XP_002545743.1	C5M385
XP_002549947.1	C5MDE3
XP_002546695.1	C5MJD0
XP_002549288.1	C5MBZ3
XP_002550531.1	C5MFI6
XP_002549515.1	C5MDR0
XP_002548321.1	C5M896
XP_002550276.1	C5MET1
XP_002547147.1	C5M6H2
XP_002420566.1	B9WHK3
XP_002548762.1	C5MAG7
XP_002546195.1	C5M4I7
XP_002551416.1	C5MI21
XP_002549255.1	C5MBW0
XP_002547915.1	C5M9Q0
XP_002547347.1	C5M722
XP_002548360.1	C5M8D5
XP_002548460.1	C5M8N5
XP_002550740.1	C5MG45
XP_002550087.1	C5ME92
XP_002546105.1	C5M497
XP_002549739.1	C5MCT5
XP_002549545.1	C5MDU0
XP_002551440.1	C5MI45
XP_002549409.1	C5MCB4
XP_002548044.1	C5MA29
XP_002545289.1	C5M1Y1
XP_002550015.1	C5ME20
XP_002551186.1	C5MHD0
XP_002549709.1	C5MCQ5
XP_002550703.1	C5MG08
XP_002547258.1	C5M6T3
XP_002551438.1	C5MI43
XP_002548660.1	C5M985
XP_002549849.1	C5MD45
XP_002549897.1	C5MD93
XP_002547793.1	C5M5C2
XP_002550113.1	C5MEB8
XP_002547332.1	C5M707
XP_002545973.1	C5M3W5
XP_002550249.1	C5MEQ4
XP_002546973.1	C5M5Z8
XP_002549632.1	C5MCH8
XP_002546253.1	C5M4P5
XP_002547785.1	C5M5B4
XP_002549527.1	C5MDS2
XP_002549060.1	C5MBB5
XP_002545406.1	C5M298
XP_002549234.1	C5MBT9
XP_002545644.1	C5M2Y6
XP_002550236.1	C5MEP1
XP_002550675.1	C5MFY0
XP_002547811.1	C5M5E0
XP_002545861.1	C5M3K3
XP_002545786.1	C5M3C8
XP_002545804.1	C5M3E6
XP_002548693.1	C5M9B7
XP_002545758.1	C5M3A0
XP_002545965.1	C5M3V7
XP_002549807.1	C5MD03
XP_002548275.1	C5M850
XP_002545708.1	C5M350
XP_002550048.1	C5ME53
XP_002546921.1	C5M5U6
XP_002551461.1	C5MI66
XP_002549048.1	C5MBA3
XP_002546205.1	C5M4J7
XP_002546974.1	C5M5Z9
XP_002548881.1	C5MAT6
XP_002550813.1	C5MGB8
XP_002547506.1	C5M7I1
XP_002551080.1	C5MH24
XP_002551010.1	C5MGV4
XP_002548160.1	C5M7T5
XP_002551200.1	C5MHE4
XP_002551355.1	C5MHW0
XP_002548838.1	C5MAP3
XP_002546875.1	C5M5Q0
XP_002549576.1	C5MDX1
XP_002547613.1	C5M4U2
XP_002551367.1	C5MHX2
XP_002549003.1	C5MB58
XP_002547625.1	C5M4V4
XP_002545559.1	C5M2Q1
XP_002547092.1	C5M6B7
XP_002549970.1	C5MDG6
XP_002546664.1	C5MJ99
XP_002548905.1	C5MAW0
XP_002547721.1	C5M550
XP_002545700.1	C5M342
XP_002546516.1	C5MIV1
XP_002546491.1	C5MIS6
XP_002551452.1	C5MI57
XP_002548312.1	C5M887
XP_002545730.1	C5M372
XP_002545513.1	C5M2K5
XP_002546802.1	C5M5H7
XP_002548255.1	C5M830
XP_002546747.1	C5MJI2
XP_002547123.1	C5M6E8
XP_002546065.1	C5M457
XP_002548035.1	C5MA20
XP_002546906.1	C5M5T1
XP_002549357.1	C5MC62
XP_002545280.1	C5M1X2
XP_002545871.1	C5M3L3
XP_002419958.1	B9WG04
XP_002550928.1	C5MGN3
XP_002548578.1	C5M903
XP_002546225.1	C5M4L7
XP_002547941.1	C5M9S6
XP_002548916.1	C5MAX1
XP_002548996.1	C5MB51
XP_002549640.1	C5MCI6
XP_002545704.1	C5M346
XP_002549669.1	C5MCL5
XP_002548296.1	C5M871
XP_002550412.1	C5MF67
XP_002547702.1	C5M531
XP_002547663.1	C5M4Z2
XP_002548314.1	C5M889
XP_002549872.1	C5MD68
XP_002545224.1	C5M1R6
XP_002545913.1	C5M3Q5
XP_004977397.1	K3Y547
XP_002545748.1	C5M390
XP_002545262.1	C5M1V4
XP_002545800.1	C5M3E2
XP_002548216.1	C5M7Z1
XP_002549689.1	C5MCN5
XP_002547524.1	C5M7J9
XP_002547685.1	C5M514
XP_002545842.1	C5M3I4
XP_002549654.1	C5MCK0
XP_002545698.1	C5M340
XP_002551029.1	C5MGX3
XP_002549176.1	C5MBN1
XP_002546128.1	C5M4C0
XP_002548073.1	C5MA58
XP_002548802.1	C5MAK7
XP_002548451.1	C5M8M6
XP_002548955.1	C5MB10
XP_002550887.1	C5MGJ2
XP_002545887.1	C5M3M9
XP_002548829.1	C5MAN4
XP_002546171.1	C5M4G3
XP_002545505.1	C5M2J7
XP_002545478.1	C5M2H0
XP_002548221.1	C5M7Z6
XP_002549937.1	C5MDD3
XP_002546462.1	C5MIP7
XP_002545694.1	C5M336
XP_002549080.1	C5MBD5
XP_002546044.1	C5M436
XP_002550640.1	C5MFU5
XP_002549794.1	C5MCZ0
XP_002551173.1	C5MHB7
XP_002551134.1	C5MH78
XP_002548669.1	C5M994
XP_002550469.1	C5MFC4
XP_002550431.1	C5MF86
XP_002551366.1	C5MHX1
XP_002551326.1	C5MHT1
XP_002547994.1	C5M9X9
XP_002548020.1	C5MA05
XP_007377656.1	G3AV87
XP_002547034.1	C5M659
XP_002548015.1	C5MA00
XP_002548231.1	C5M806
XP_002545251.1	C5M1U3
XP_002550871.1	C5MGH6
XP_002546107.1	C5M499
XP_002546505.1	C5MIU0
XP_002549011.1	C5MB66
XP_002550651.1	C5MFV6
XP_002549365.1	C5MC70
XP_002546122.1	C5M4B4
XP_002549035.1	C5MB90
XP_002548554.1	C5M8X9
XP_002548372.1	C5M8E7
XP_002549175.1	C5MBN0
XP_002545585.1	C5M2S7
XP_002545303.1	C5M1Z5
XP_002546159.1	C5M4F1
XP_002548349.1	C5M8C4
XP_002548137.1	C5MAC2
XP_002548987.1	C5MB42
XP_002551147.1	C5MH91
XP_002549127.1	C5MBI2
XP_002546598.1	C5MJ33
XP_002550460.1	C5MFB5
XP_002546610.1	C5MJ45
XP_002547058.1	C5M683
XP_002549039.1	C5MB94
XP_002546949.1	C5M5X4
XP_002550794.1	C5MG99
XP_002550627.1	C5MFT2
XP_002546915.1	C5M5U0
XP_002548968.1	C5MB23
XP_002549777.1	C5MCX3
XP_002551057.1	C5MH01
XP_002545272.1	C5M1W4
XP_002547549.1	C5M7M4
XP_002545292.1	C5M1Y4
XP_002548130.1	C5MAB5
XP_002548203.1	C5M7X8
XP_002546051.1	C5M443
XP_002545773.1	C5M3B5
YP_009192272.1	A0A0S2RKU5
XP_002545853.1	C5M3J5
XP_002550811.1	C5MGB6
XP_002549676.1	C5MCM2
XP_002545633.1	C5M2X5
XP_002550765.1	C5MG70
XP_002547816.1	C5M5E5
XP_002548469.1	C5M8P4
XP_002546451.1	C5MIN6
XP_002548406.1	C5M8I1
XP_002548574.1	C5M8Z9
XP_002549889.1	C5MD85
XP_002545246.1	C5M1T8
XP_002549658.1	C5MCK4
XP_002548266.1	C5M841
XP_002549761.1	C5MCV7
XP_002545244.1	C5M1T6
XP_002551197.1	C5MHE1
XP_002550847.1	C5MGF2
XP_002547882.1	C5M9L7
XP_002548663.1	C5M987
XP_002545637.1	C5M2X9
XP_002545783.1	C5M3C5
XP_002547759.1	C5M588
XP_002548070.1	C5MA55
XP_002551165.1	C5MHA9
XP_002548929.1	C5MAY4
XP_002550394.1	C5MF49
XP_002549791.1	C5MCY7
XP_002551198.1	C5MHE2
XP_002551000.1	C5MGU4
XP_002547817.1	C5MJK6
XP_002548472.1	C5M8P7
XP_002547885.1	C5M9M0
XP_002547659.1	C5M4Y7
XP_002551224.1	C5MHG8
XP_002549387.1	C5MC92
XP_002550310.1	C5MEW5
XP_002551287.1	C5MHP2
XP_002550664.1	C5MFW9
XP_002549663.1	C5MCK9
XP_002551194.1	C5MHD8
XP_002549491.1	C5MDN5
XP_002550844.1	C5MGE9
XP_002550396.1	C5MF51
XP_002548662.1	C5M988
XP_002550198.1	C5MEK3
XP_002550645.1	C5MFV0
XP_002549770.1	C5MCW6
XP_002548365.1	C5M8E0
XP_002551270.1	C5MHM5
XP_002549228.1	C5MBT3
XP_002549015.1	C5MB70
XP_002548745.1	C5MAF0
XP_002549013.1	C5MB68
XP_002550902.1	C5MGK7
XP_002545738.1	C5M380
XP_002546606.1	C5MJ41
XP_002548236.1	C5M811
XP_002546988.1	C5M613
XP_002549369.1	C5MC74
XP_002546671.1	C5MJA6
XP_002546513.1	C5MIU8
XP_002547983.1	C5M9W8
XP_002547766.1	C5M595
XP_002545979.1	C5M3X1
XP_002546360.1	C5MIE5
XP_002551139.1	C5MH83
XP_002551143.1	C5MH87
XP_002548257.1	C5M832
XP_002545661.1	C5M303
XP_002547618.1	C5M4U7
XP_002548403.1	C5M8H8
XP_002545377.1	C5M269
XP_002547996.1	C5M9Y1
XP_002550900.1	C5MGK5
XP_002548227.1	C5M802
XP_002550446.1	C5MFA1
XP_002421610.1	B9WKJ9
XP_002545991.1	C5M3Y3
XP_002545960.1	C5M3V2
XP_002551462.1	C5MI67
XP_002546518.1	C5MIV3
XP_002551368.1	C5MHX3
XP_002548412.1	C5M8I7
XP_002545474.1	C5M2G6
XP_002547001.1	C5M626
XP_002545642.1	C5M2Y4
XP_002549380.1	C5MC85
XP_002546983.1	C5M608
XP_002551180.1	C5MHC4
XP_002549574.1	C5MDW9
XP_007372560.1	G3AG09
XP_002546089.1	C5M481
XP_002550850.1	C5MGF5
XP_002546604.1	C5MJ39
XP_002548225.1	C5M800
XP_002545319.1	C5M211
XP_002546863.1	C5M5N8
XP_002548211.1	C5M7Y6
XP_002545314.1	C5M206
XP_002545820.1	C5M3G2
XP_002550650.1	C5MFV5
XP_002548737.1	C5MAE2
XP_002547985.1	C5M9X1
XP_002551455.1	C5MI60
XP_002549585.1	C5MDY0
XP_002551235.1	C5MHH9
XP_002546053.1	C5M445
XP_002549891.1	C5MD87
XP_002550868.1	C5MGH3
XP_002549337.1	C5MC42
XP_002550387.1	C5MF42
XP_002547105.1	C5M6D0
XP_002546621.1	C5MJ56
XP_002546743.1	C5MJH8
XP_002546062.1	C5M454
XP_002548401.1	C5M8H6
XP_002546926.1	C5M5V1
XP_002550832.1	C5MGD7
XP_002547823.1	C5MJL2
XP_002550687.1	C5MFZ2
XP_002545859.1	C5M3K1
XP_002546741.1	C5MJH6
XP_002548541.1	C5M8W6
XP_002547764.1	C5M593
XP_002546622.1	C5MJ57
XP_002547984.1	C5M9W9
XP_002549005.1	C5MB60
XP_002549963.1	C5MDF9
XP_002547717.1	C5M546
XP_002549524.1	C5MDR8
XP_002546964.1	C5M5Y9
XP_002549836.1	C5MD32
XP_002549006.1	C5MB61
XP_002551183.1	C5MHC7
XP_002546965.1	C5M5Z0
XP_002548463.1	C5M8N8
XP_002546680.1	C5MJB5
XP_002546094.1	C5M486
XP_002547026.1	C5M651
XP_002546256.1	C5M4P8
XP_002549184.1	C5MBN9
XP_002549834.1	C5MD30
XP_002548648.1	C5M973
XP_002548413.1	C5M8I8
XP_002546535.1	C5MIX0
XP_002546258.1	C5M4Q0
XP_002546603.1	C5MJ38
XP_002548600.1	C5M925
XP_002548318.1	C5M893
XP_002545789.1	C5M3D1
XP_002546765.1	C5MJK0
XP_002550465.1	C5MFC0
XP_002550061.1	C5ME66
XP_002548218.1	C5M7Z3
XP_002548882.1	C5MAT7
XP_002548373.1	C5M8E8
XP_002421521.1	B9WJS6
XP_002550447.1	C5MFA2
XP_002545282.1	C5M1X4
XP_002546030.1	C5M422
XP_002545772.1	C5M3B4
XP_002548409.1	C5M8I4
XP_002548029.1	C5MA14
XP_002546176.1	C5M4G8
XP_002548908.1	C5MAW3
XP_002550899.1	C5MGK4
XP_002549000.1	C5MB55
XP_002548507.1	C5M8T2
XP_001528778.1	A5DVB2
XP_002547065.1	C5M690
XP_002546519.1	C5MIV4
XP_002551236.1	C5MHI0
XP_002549002.1	C5MB57
XP_002545947.1	C5M3T9
XP_002546456.1	C5MIP1
XP_002549664.1	C5MCL0
XP_002549833.1	C5MD29
XP_002547986.1	C5M9X0
XP_002548335.1	C5M8B0
XP_002551021.1	C5MGW5
XP_002548382.1	C5M8F7
XP_004981809.1	K4AF90
XP_004960811.1	K3ZA87
XP_003559651.3	A0A0Q3RM98
XP_002549040.1	C5MB95
XP_002549246.1	C5MBV1
XP_002547134.1	C5M6F9
XP_002547481.1	C5M7F6
XP_001386431.2	A3LZU3
XP_002549001.1	C5MB56
XP_004974378.1	K3YFV3
XP_002546998.1	C5M623
XP_002550527.1	C5MFI2
XP_002549725.1	C5MCS1
XP_002551202.1	C5MHE6
XP_002545468.1	C5M2G0
XP_002545452.1	C5M2E4
XP_004963333.1	K3Z4R4
XP_002549890.1	C5MD86
XP_002546601.1	C5MJ36
XP_002547363.1	C5M738
XP_004952289.1	K3YSZ3
XP_002548556.1	C5M8Y1
XP_002545574.1	C5M2R6
XP_001526317.1	A5DZT8
XP_002551246.1	C5MHJ0
XP_004984279.1	K4A708
XP_002548828.1	C5MAN3
XP_002550273.1	C5MES8
XP_002550857.1	C5MGG2
XP_002547327.1	C5M702
XP_002548040.1	C5MA25
XP_001484061.1	A5DJJ1
XP_002550686.1	C5MFZ1
XP_002549379.1	C5MC84
XP_002547053.1	C5M678
XP_002548350.1	C5M8C5
XP_002419480.1	B9WEG3
XP_002545608.1	C5M2V0
XP_002545706.1	C5M348
XP_002546859.1	C5M5N4
XP_006688500.1	G3B811
XP_002546918.1	C5M5U3
XP_002548539.1	C5M8W4
XP_002546455.1	C5MIP0
XP_004979339.1	K3ZIT8
XP_002549009.1	C5MB64
XP_002550812.1	C5MGB7
XP_002549386.1	C5MC91
XP_002548998.1	C5MB53
XP_004986804.1	K4AIK4
XP_002547164.1	C5M6I9
XP_002551448.1	C5MI53
XP_004961917.1	K3Z7C7
XP_004962892.1	K3Z4S7
XP_002548671.1	C5M996
XP_002550534.1	C5MFI9
XP_002547872.1	C5M9K7
XP_002549500.1	C5MDP5
XP_002549575.1	C5MDX0
XP_002545753.1	C5M395
XP_002551097.1	C5MH41
XP_004983196.1	K4ABQ7
XP_004961398.1	K3ZAH6
XP_002545819.1	C5M3G1
XP_002548226.1	C5M801
XP_002545649.1	C5M2Z1
XP_002547235.1	C5M6R0
XP_002548595.1	C5M920
XP_002545332.1	C5M224
XP_002549523.1	C5MDR9
XP_002548559.1	C5M8Y4
XP_002547634.1	C5M4W3
XP_002546900.1	C5M5S5
XP_002550031.1	C5ME36
XP_004952889.1	K3YTH5
XP_004986793.2	K4ACH9
XP_002547755.1	C5M584
XP_002546260.1	C5M4Q1
XP_002548543.1	C5M8W8
XP_002550088.1	C5ME93
XP_008675501.1	A0A1D6NMI6
XP_002548209.1	C5M7Y4
XP_002546744.1	C5MJH9
XP_002419320.1	B9WE03
XP_004983783.1	K4AED9
XP_004977302.1	K3YCI3
XP_004966863.2	K3XV33
XP_002548661.1	C5M986
XP_002551321.1	C5MHS6
XP_002551439.1	C5MI44
XP_002547283.1	C5M6V8
NP_001105833.1	Q49HD7
XP_002545839.1	C5M3I1
XP_004984446.1	K4A849
XP_004951788.1	K3YV35
XP_002546954.1	C5M5X9
XP_002547936.1	C5M9S1
XP_002549489.1	C5MDN4
XP_004968438.1	K3XDZ0
XP_002549759.1	C5MCV5
XP_002550746.1	C5MG51
XP_002550669.1	C5MFX4
XP_004965788.1	K3XYM4
XP_002548683.1	C5M9A8
XP_002548402.1	C5M8H7
XP_002549130.1	C5MBI5
XP_002549662.1	C5MCK8
XP_001487749.1	A5DCX1
XP_002551179.1	C5MHC3
XP_002548670.1	C5M995
XP_001485809.1	A5DDX9
XP_002545220.1	C5M1R2
XP_002547620.1	C5M4U8
XP_002546194.1	C5M4I6
XP_002546186.1	C5M4H8
XP_002546120.1	C5M4B2
XP_002549494.1	C5MDN9
XP_004968625.1	K3XJ16
XP_002549705.1	C5MCQ1
XP_002548911.1	C5MAW6
XP_001525744.1	A5E235
XP_002548178.1	C5M7V3
XP_002549258.1	C5MBW3
XP_002550080.1	C5ME85
XP_002546100.1	C5M492
XP_002547891.1	C5M9M6
XP_002546804.1	C5M5H9
YP_001621419.1	A9RAG7
XP_002550449.1	C5MFA4
XP_004961447.1	K3Z3D8
XP_002546546.1	C5MIY1
XP_004977375.1	K3Y7H9
XP_721729.1	Q5AJD9
XP_002550395.1	C5MF50
XP_002547716.1	C5M545
XP_004971057.1	K3XI36
XP_002549766.1	C5MCW2
XP_002548650.1	C5M975
XP_002548907.1	C5MAW2
XP_004964322.1	K3XY32
XP_004954033.1	K3YS67
XP_004986632.1	K4AJD2
XP_002546108.1	C5M4A0
XP_002550876.1	C5MGI1
XP_002550741.1	C5MG46
XP_013933828.1	W1QBM6
XP_002550317.1	C5MEX2
XP_002549164.1	C5MBL9
XP_002549174.1	C5MBM9
XP_004981808.1	K4ADR5
XP_004956235.1	K3ZRQ0
XP_002546578.1	C5MJ13
XP_002550638.1	C5MFU3
XP_002547414.1	C5M789
XP_002548219.1	C5M7Z4
XP_015627032.1	Q6YXZ7
XP_002548510.1	C5M8T5
XP_002549400.1	C5MCA5
XP_004958575.1	K3ZQ20
XP_004968404.1	K3XEP4
XP_004976564.1	K3Y6X6
XP_004965231.1	K3XVG9
XP_004976649.1	K3Y7V6
XP_002550629.1	C5MFT4
XP_003559924.2	I1GS26
XP_004975415.1	K3Y5I5
XP_014660650.1	K3XHS1
XP_007851319.1	V2X6I6
XP_004979200.1	K3ZHI8
XP_004983388.1	K4AGT3
XP_004972154.1	K3XTE5
XP_002444101.1	C5YJH7
XP_002416711.1	B9W6J0
XP_002547499.1	C5M7H4
XP_002454820.1	C5XWN3
XP_004981595.1	K4A593
XP_004985152.1	K4A968
XP_002547185.1	C5M6L0
XP_004966004.1	K3XUY7
XP_002550548.1	C5MFK3
XP_002546897.1	C5M5S2
XP_002547047.1	C5M672
XP_007377752.1	G3AVU1
XP_002549859.1	C5MD55
NP_001159328.1	C0HFL0
XP_002549366.1	C5MC71
XP_002550864.1	C5MGG9
XP_002549954.1	C5MDF0
XP_002548735.1	C5M9G0
XP_002548229.1	C5M804
XP_004955444.1	K3ZQ97
XP_002545857.1	C5M3J9
XP_002549955.1	C5MDF1
XP_002548279.1	C5M854
XP_002549229.1	C5MBT4
XP_004968689.1	K3XEL3
XP_004972562.2	K3YFV9
XP_015613828.1	Q8LNH6
XP_002548966.1	C5MB21
XP_001526253.1	A5DZM4
XP_002549584.1	C5MDX9
XP_002549123.1	C5MBH8
XP_004979265.1	K3ZIJ3
WP_034352118.1	A0A096FV19
XP_002547951.1	C5M9T6
XP_004956612.1	K3ZVA0
XP_012703197.1	K3Y5C0
XP_002549297.1	C5MC02
XP_015646448.1	Q7EZD7
XP_002549181.1	C5MBN6
WP_050716433.1	A0A0K1NG59
XP_002546130.1	C5M4C2
XP_002550693.1	C5MFZ8
WP_056053492.1	A0A0Q5LF18
XP_002546634.1	C5MJ69
XP_004984657.1	K4A8Q2
XP_004976841.1	K3Y9G5
XP_002460807.1	C5XAQ2
XP_003580954.2	A0A0Q3KNP3
XP_002551444.1	C5MI49
XP_002547822.1	C5MJL1
XP_002546860.1	C5M5N5
XP_002551096.1	C5MH40
XP_002549837.1	C5MD33
XP_002546773.1	C5M5E8
XP_002550448.1	C5MFA3
XP_002548114.1	C5MA99
WP_047331151.1	A0A0G3IN71
XP_002548780.1	C5MAI5
XP_002548212.1	C5M7Y7
XP_004960270.1	K3Z4U4
WP_024266275.1	W8CUH6
XP_002447494.1	C5YCM0
XP_002550036.1	C5ME41
XP_002546257.1	C5M4P9
XP_002547668.1	C5M4Z7
XP_018712705.1	A0A1A0HDP9
XP_461842.2	Q6BIX9
XP_002545863.1	C5M3K5
XP_004966266.1	K3XW25
XP_002549495.1	C5MDP0
XP_002551046.1	C5MGZ0
XP_002548666.1	C5M991
XP_012698941.1	K3ZZ73
XP_002547776.1	C5M5A5
XP_002545614.1	C5M2V6
XP_002547548.1	C5M7M3
XP_002547818.1	C5MJK7
XP_002545803.1	C5M3E5
XP_002546956.1	C5M5Y1
XP_003566606.1	I1HM71
WP_036301699.1	W0Z970
XP_002548144.1	C5MAC9
XP_004983692.1	K4A4U0
XP_015610996.1	Q67TR8
XP_004956012.1	K3ZR28
XP_004962907.1	K3Z4V3
XP_002545511.1	C5M2K3
XP_002545725.1	C5M367
XP_002546493.1	C5MIS8
XP_002549268.1	C5MBX3
XP_002546548.1	C5MIY3
XP_002549852.1	C5MD48
XP_002549870.1	C5MD66
XP_008653464.1	A0A1D6IN03
XP_002546029.1	C5M421
XP_004954237.1	K3YVB0
XP_004965434.1	K3Y124
XP_002549744.1	C5MCU0
XP_002546157.1	C5M4E9
NP_001106060.1	A7KVC2
XP_002549621.1	C5MCG7
XP_002549551.1	C5MDU6
XP_004975385.1	K3Y673
XP_013468917.1	A0A072VLT6
XP_002417075.1	B9W7K4
XP_004955445.1	K3ZST8
XP_002546754.1	C5MJI9
XP_004972860.1	K3YJM9
XP_006650113.1	J3LP14
XP_004964759.1	K3XV72
XP_004982582.1	K4AL86
XP_002545879.1	C5M3M1
XP_002545990.1	C5M3Y2
XP_002547616.1	C5M4U5
XP_004975022.1	K3Y9I9
XP_002547398.1	C5M773
XP_012703060.1	K3YP71
XP_002549367.1	C5MC72
XP_004985808.1	K4AET3
WP_039342202.1	A0A0A6YEQ5
XP_004957206.1	K3ZU47
XP_002550430.1	C5MF85
XP_002549732.1	C5MCS8
XP_002551146.1	C5MH90
XP_002545791.1	C5M3D3
XP_002548698.1	C5M9C3
XP_002548675.1	C5M9A0
XP_002545510.1	C5M2K2
XP_004976111.1	K3Y678
XP_001526473.1	A5E094
XP_002551453.1	C5MI58
XP_004973031.1	K3YG88
XP_002548495.1	C5M8S0
XP_002550611.1	C5MFR6
XP_015624171.1	Q6K949
XP_004978851.1	K3ZNI6
WP_000904488.1	A0A0P7QGU3
WP_000904488.1	D3GVC7
XP_004978753.1	K3ZHT9
XP_004960969.1	K3Z3F1
XP_002550865.1	C5MGH0
WP_006979439.1	B4CZM6
XP_002546013.1	C5M405
XP_008661578.1	A0A1D6KEZ7
XP_003563511.1	I1GLG8
XP_002545316.1	C5M208
XP_002549825.1	C5MD21
XP_004952640.1	K3YTG6
XP_012702709.1	K3Y8F8
WP_036207443.1	A0A0A0F4T6
XP_004959674.1	K4A1Y0
XP_002546587.1	C5MJ22
XP_004968641.1	K3XEU9
XP_002546871.1	C5M5P6
XP_002551233.1	C5MHH7
XP_002551250.1	C5MHJ4
XP_002547438.1	C5M7B3
XP_002547750.1	C5M579
XP_004954223.1	K3YPA0
XP_004976964.1	K3Y5M5
XP_002548912.1	C5MAW7
XP_004967670.1	K3XFP7
XP_004976783.2	K3Y897
XP_004954282.1	K3YUZ5
XP_002551184.1	C5MHC8
XP_002548238.1	C5M813
XP_002549432.1	C5MCD7
XP_002550062.1	C5ME67
XP_002551237.1	C5MHI1
XP_002547982.1	C5M9W7
XP_002549108.1	C5MBG3
XP_004966258.1	K3XX12
XP_004961415.1	K3Z657
XP_002549433.1	C5MCD8
XP_002550834.1	C5MGD9
XP_004976552.1	K3Y6Q2
XP_002546865.1	C5M5P0
XP_002546623.1	C5MJ58
XP_006652670.1	J3M0L1
XP_004960393.1	K3Z942
WP_013024588.1	A0A0E9B2Z9
WP_013024588.1	A0A0N1RYY6
WP_013024588.1	D4GJQ1
XP_004961412.1	K3ZEJ0
XP_002545788.1	C5M3D0
XP_012702672.1	K3Y5C5
XP_004965567.1	K3XY85
WP_039338993.1	A0A0A6W9L3
NP_001140400.1	B4FNQ6
XP_002545793.1	C5M3D5
XP_001525717.1	A5E208
XP_002546616.1	C5MJ51
XP_012701002.1	K3XVC1
XP_002551314.1	C5MHR9
XP_004962616.1	K3Z6M2
XP_002545808.1	C5M3F0
XP_002441786.1	Q84YF1
XP_008652236.1	A0A1D6HX33
NP_001169587.1	C0PG74
XP_013467744.1	A0A072VJK6
XP_002551117.1	C5MH61
XP_004983187.1	K4AD17
XP_002548599.1	C5M924
XP_004956935.1	K3ZSC8
XP_004974931.1	K3YMD5
XP_008645404.1	A0A1D6KI11
XP_004976636.1	K3Y7N8
NP_001183559.1	C4J8S7
XP_002442331.1	C5YPU5
XP_004984395.1	K4A837
XP_004970585.1	K3XIG4
XP_006649964.2	J3LN30
XP_002551231.1	C5MHH5
XP_002545992.1	C5M3Y4
XP_004964198.3	K3ZD36
XP_004984712.1	K4A885
XP_002550472.1	C5MFC7
XP_002547800.1	C5M5C9
XP_002549573.1	C5MDW8
NP_001131692.1	B4FDL9
NP_001142100.1	B4FZU8
XP_012704146.1	K3YRF5
NP_001151318.1	B6TZ34
XP_014752742.1	I1GNM8
XP_002468623.1	C5X0Y2
XP_002453597.1	C5XZ01
XP_002547176.1	C5M6K1
XP_004981956.1	K4A7H7
WP_039342468.1	A0A0A6VYP6
XP_004955199.1	K3YZ71
XP_002545799.1	C5M3E1
XP_004964375.1	K3XWV7
XP_002550626.1	C5MFT1
XP_002442656.1	C5YQ25
XP_002419308.1	B9WDZ1
XP_002551378.1	C5MHY3
XP_002548471.1	C5M8P6
XP_004958203.1	K3ZR51
XP_002459366.1	C5X9N4
XP_002550011.1	C5ME16
XP_002445202.1	C5YIH2
XP_002549351.1	C5MC56
XP_004962547.1	K3Z5T3
XP_004955544.1	K3ZQ92
XP_004968881.1	K3XH06
