From	To
C5M634	ctp:CTRG_01315
C5M6G0	ctp:CTRG_01441
C5M2T7	ctp:CTRG_00376
C5M827	ctp:CTRG_02549
C5MBH3	ctp:CTRG_03415
C5MAM4	ctp:CTRG_03116
C5M2F2	ctp:CTRG_00241
C5MAZ5	ctp:CTRG_03237
C5M4E0	ctp:CTRG_00930
C5MIE9	ctp:CTRG_05842
C5MGG4	ctp:CTRG_05157
C5MHQ0	ctp:CTRG_05593
C5MGC6	ctp:CTRG_05119
C5MEV5	ctp:CTRG_04598
C5MGN7	ctp:CTRG_05241
C5M7S0	ctp:CTRG_01902
C5MI73	ctp:CTRG_05766
C5MDF5	ctp:CTRG_04256
C5MEM2	ctp:CTRG_04515
C5M7K7	ctp:CTRG_01839
C5MHF2	ctp:CTRG_05506
C5M385	ctp:CTRG_00524
C5MDE3	ctp:CTRG_04244
C5MJD0	ctp:CTRG_06173
C5MBZ3	ctp:CTRG_03585
C5MFI6	ctp:CTRG_04829
C5MDR0	ctp:CTRG_03812
C5M896	ctp:CTRG_02618
C5MET1	ctp:CTRG_04574
C5M6H2	ctp:CTRG_01453
B9WHK3	cdu:CD36_52630
C5MAG7	ctp:CTRG_03059
C5M4I7	ctp:CTRG_00977
C5MI21	ctp:CTRG_05714
C5MBW0	ctp:CTRG_03552
C5M9Q0	ctp:CTRG_02212
C5M722	ctp:CTRG_01654
C5M8D5	ctp:CTRG_02657
C5M8N5	ctp:CTRG_02757
C5MG45	ctp:CTRG_05038
C5ME92	ctp:CTRG_04384
C5M497	ctp:CTRG_00886
C5MCT5	ctp:CTRG_04036
C5MDU0	ctp:CTRG_03842
C5MI45	ctp:CTRG_05738
C5MCB4	ctp:CTRG_03706
C5MA29	ctp:CTRG_02341
C5M1Y1	ctp:CTRG_00070
C5ME20	ctp:CTRG_04312
C5MHD0	ctp:CTRG_05484
C5MCQ5	ctp:CTRG_04006
C5MG08	ctp:CTRG_05001
C5M6T3	ctp:CTRG_01564
C5MI43	ctp:CTRG_05736
C5M985	ctp:CTRG_02957
C5MD45	ctp:CTRG_04146
C5MD93	ctp:CTRG_04194
C5M5C2	ctp:CTRG_02100
C5MEB8	ctp:CTRG_04411
C5M707	ctp:CTRG_01638
C5M3W5	ctp:CTRG_00754
C5MEQ4	ctp:CTRG_04547
C5M5Z8	ctp:CTRG_01279
C5MCH8	ctp:CTRG_03929
C5M4P5	ctp:CTRG_01035
C5M5B4	ctp:CTRG_02092
C5MDS2	ctp:CTRG_03824
C5MBB5	ctp:CTRG_03357
C5M298	ctp:CTRG_00187
C5MBT9	ctp:CTRG_03531
C5M2Y6	ctp:CTRG_00425
C5MEP1	ctp:CTRG_04534
C5MFY0	ctp:CTRG_04973
C5M5E0	ctp:CTRG_02118
C5M3K3	ctp:CTRG_00642
C5M3C8	ctp:CTRG_00567
C5M3E6	ctp:CTRG_00585
C5M9B7	ctp:CTRG_02989
C5M3A0	ctp:CTRG_00539
C5M3V7	ctp:CTRG_00746
C5MD03	ctp:CTRG_04104
C5M850	ctp:CTRG_02572
C5M350	ctp:CTRG_00489
C5ME53	ctp:CTRG_04345
C5M5U6	ctp:CTRG_01227
C5MI66	ctp:CTRG_05759
C5MBA3	ctp:CTRG_03345
C5M4J7	ctp:CTRG_00987
C5M5Z9	ctp:CTRG_01280
C5MAT6	ctp:CTRG_03178
C5MGB8	ctp:CTRG_05111
C5M7I1	ctp:CTRG_01813
C5MH24	ctp:CTRG_05378
C5MGV4	ctp:CTRG_05308
C5M7T5	ctp:CTRG_02457
C5MHE4	ctp:CTRG_05498
C5MHW0	ctp:CTRG_05653
C5MAP3	ctp:CTRG_03135
C5M5Q0	ctp:CTRG_01180
C5MDX1	ctp:CTRG_03873
C5M4U2	ctp:CTRG_01920
C5MHX2	ctp:CTRG_05665
C5MB58	ctp:CTRG_03300
C5M4V4	ctp:CTRG_01932
C5M2Q1	ctp:CTRG_00340
C5M6B7	ctp:CTRG_01398
C5MDG6	ctp:CTRG_04267
C5MJ99	ctp:CTRG_06142
C5MAW0	ctp:CTRG_03202
C5M550	ctp:CTRG_02028
C5M342	ctp:CTRG_00481
C5MIV1	ctp:CTRG_05994
C5MIS6	ctp:CTRG_05969
C5MI57	ctp:CTRG_05750
C5M887	ctp:CTRG_02609
C5M372	ctp:CTRG_00511
C5M2K5	ctp:CTRG_00294
C5M5H7	ctp:CTRG_01107
C5M830	ctp:CTRG_02552
C5MJI2	ctp:CTRG_06225
C5M6E8	ctp:CTRG_01429
C5M457	ctp:CTRG_00846
C5MA20	ctp:CTRG_02332
C5M5T1	ctp:CTRG_01211
C5MC62	ctp:CTRG_03654
C5M1X2	ctp:CTRG_00061
C5M3L3	ctp:CTRG_00652
B9WG04	cdu:CD36_42960
C5MGN3	ctp:CTRG_05226
C5M903	ctp:CTRG_02875
C5M4L7	ctp:CTRG_01007
C5M9S6	ctp:CTRG_02238
C5MAX1	ctp:CTRG_03213
C5MB51	ctp:CTRG_03293
C5MCI6	ctp:CTRG_03937
C5M346	ctp:CTRG_00485
C5MCL5	ctp:CTRG_03966
C5M871	ctp:CTRG_02593
C5MF67	ctp:CTRG_04710
C5M531	ctp:CTRG_02009
C5M4Z2	ctp:CTRG_01970
C5M889	ctp:CTRG_02611
C5MD68	ctp:CTRG_04169
C5M1R6	ctp:CTRG_00005
C5M3Q5	ctp:CTRG_00694
K3Y547	sita:101777937
C5M390	ctp:CTRG_00529
C5M1V4	ctp:CTRG_00043
C5M3E2	ctp:CTRG_00581
C5M7Z1	ctp:CTRG_02513
C5MCN5	ctp:CTRG_03986
C5M7J9	ctp:CTRG_01831
C5M514	ctp:CTRG_01992
C5M3I4	ctp:CTRG_00623
C5MCK0	ctp:CTRG_03951
C5M340	ctp:CTRG_00479
C5MGX3	ctp:CTRG_05327
C5MBN1	ctp:CTRG_03473
C5M4C0	ctp:CTRG_00910
C5MA58	ctp:CTRG_02370
C5MAK7	ctp:CTRG_03099
C5M8M6	ctp:CTRG_02748
C5MB10	ctp:CTRG_03252
C5MGJ2	ctp:CTRG_05185
C5M3M9	ctp:CTRG_00668
C5MAN4	ctp:CTRG_03126
C5M4G3	ctp:CTRG_00953
C5M2J7	ctp:CTRG_00286
C5M2H0	ctp:CTRG_00259
C5M7Z6	ctp:CTRG_02518
C5MDD3	ctp:CTRG_04234
C5MIP7	ctp:CTRG_05940
C5M336	ctp:CTRG_00475
C5MBD5	ctp:CTRG_03377
C5M436	ctp:CTRG_00825
C5MFU5	ctp:CTRG_04938
C5MCZ0	ctp:CTRG_04091
C5MHB7	ctp:CTRG_05471
C5MH78	ctp:CTRG_05432
C5M994	ctp:CTRG_02966
C5MFC4	ctp:CTRG_04767
C5MF86	ctp:CTRG_04729
C5MHX1	ctp:CTRG_05664
C5MHT1	ctp:CTRG_05624
C5M9X9	ctp:CTRG_02291
C5MA05	ctp:CTRG_02317
G3AV87	spaa:SPAPADRAFT_57398
C5M659	ctp:CTRG_01340
C5MA00	ctp:CTRG_02312
C5M806	ctp:CTRG_02528
C5M1U3	ctp:CTRG_00032
C5MGH6	ctp:CTRG_05169
C5M499	ctp:CTRG_00889
C5MIU0	ctp:CTRG_05983
C5MB66	ctp:CTRG_03308
C5MFV6	ctp:CTRG_04949
C5MC70	ctp:CTRG_03662
C5M4B4	ctp:CTRG_00904
C5MB90	ctp:CTRG_03332
C5M8X9	ctp:CTRG_02851
C5M8E7	ctp:CTRG_02669
C5MBN0	ctp:CTRG_03472
C5M2S7	ctp:CTRG_00366
C5M1Z5	ctp:CTRG_00084
C5M4F1	ctp:CTRG_00941
C5M8C4	ctp:CTRG_02646
C5MAC2	ctp:CTRG_02434
C5MB42	ctp:CTRG_03284
C5MH91	ctp:CTRG_05445
C5MBI2	ctp:CTRG_03424
C5MJ33	ctp:CTRG_06076
C5MFB5	ctp:CTRG_04758
C5MJ45	ctp:CTRG_06088
C5M683	ctp:CTRG_01364
C5MB94	ctp:CTRG_03336
C5M5X4	ctp:CTRG_01255
C5MG99	ctp:CTRG_05092
C5MFT2	ctp:CTRG_04925
C5M5U0	ctp:CTRG_01220
C5MB23	ctp:CTRG_03265
C5MCX3	ctp:CTRG_04074
C5MH01	ctp:CTRG_05355
C5M1W4	ctp:CTRG_00053
C5M7M4	ctp:CTRG_01856
C5M1Y4	ctp:CTRG_00073
C5MAB5	ctp:CTRG_02427
C5M7X8	ctp:CTRG_02500
C5M443	ctp:CTRG_00832
C5M3B5	ctp:CTRG_00558
C5M3B5	ctp:CTRG_00554
C5M3J5	ctp:CTRG_00634
C5MGB6	ctp:CTRG_05109
C5MCM2	ctp:CTRG_03973
C5M2X5	ctp:CTRG_00414
C5MG70	ctp:CTRG_05063
C5M5E5	ctp:CTRG_02123
C5M8P4	ctp:CTRG_02766
C5MIN6	ctp:CTRG_05929
C5M8I1	ctp:CTRG_02703
C5M8Z9	ctp:CTRG_02871
C5MD85	ctp:CTRG_04186
C5M1T8	ctp:CTRG_00027
C5MCK4	ctp:CTRG_03955
C5M841	ctp:CTRG_02563
C5MCV7	ctp:CTRG_04058
C5M1T6	ctp:CTRG_00025
C5MHE1	ctp:CTRG_05495
C5MGF2	ctp:CTRG_05145
C5M9L7	ctp:CTRG_02179
C5M987	ctp:CTRG_02959
C5M2X9	ctp:CTRG_00418
C5M3C5	ctp:CTRG_00564
C5M588	ctp:CTRG_02066
C5MA55	ctp:CTRG_02367
C5MHA9	ctp:CTRG_05463
C5MAY4	ctp:CTRG_03226
C5MF49	ctp:CTRG_04692
C5MCY7	ctp:CTRG_04088
C5MHE2	ctp:CTRG_05496
C5MGU4	ctp:CTRG_05298
C5MJK6	ctp:CTRG_06249
C5M8P7	ctp:CTRG_02769
C5M9M0	ctp:CTRG_02182
C5M4Y7	ctp:CTRG_01965
C5MHG8	ctp:CTRG_05522
C5MC92	ctp:CTRG_03684
C5MEW5	ctp:CTRG_04608
C5MHP2	ctp:CTRG_05585
C5MFW9	ctp:CTRG_04962
C5MCK9	ctp:CTRG_03960
C5MHD8	ctp:CTRG_05492
C5MDN5	ctp:CTRG_03787
C5MGE9	ctp:CTRG_05142
C5MF51	ctp:CTRG_04694
C5M988	ctp:CTRG_02960
C5MEK3	ctp:CTRG_04496
C5MFV0	ctp:CTRG_04943
C5MCW6	ctp:CTRG_04067
C5M8E0	ctp:CTRG_02662
C5MHM5	ctp:CTRG_05568
C5MBT3	ctp:CTRG_03525
C5MB70	ctp:CTRG_03312
C5MAF0	ctp:CTRG_03042
C5MB68	ctp:CTRG_03310
C5MGK7	ctp:CTRG_05200
C5M380	ctp:CTRG_00519
C5MJ41	ctp:CTRG_06084
C5M811	ctp:CTRG_02533
C5M613	ctp:CTRG_01294
C5MC74	ctp:CTRG_03666
C5MJA6	ctp:CTRG_06149
C5MIU8	ctp:CTRG_05991
C5M9W8	ctp:CTRG_02280
C5M595	ctp:CTRG_02073
C5M3X1	ctp:CTRG_00760
C5MIE5	ctp:CTRG_05838
C5MH83	ctp:CTRG_05437
C5MH87	ctp:CTRG_05441
C5M832	ctp:CTRG_02554
C5M303	ctp:CTRG_00442
C5M4U7	ctp:CTRG_01925
C5M8H8	ctp:CTRG_02700
C5M269	ctp:CTRG_00158
C5M9Y1	ctp:CTRG_02293
C5MGK5	ctp:CTRG_05198
C5M802	ctp:CTRG_02524
C5MFA1	ctp:CTRG_04744
B9WKJ9	cdu:CD36_25050
C5M3Y3	ctp:CTRG_00772
C5M3V2	ctp:CTRG_00741
C5MI67	ctp:CTRG_05760
C5MIV3	ctp:CTRG_05996
C5MHX3	ctp:CTRG_05666
C5M8I7	ctp:CTRG_02709
C5M2G6	ctp:CTRG_00255
C5M626	ctp:CTRG_01307
C5M2Y4	ctp:CTRG_00423
C5MC85	ctp:CTRG_03677
C5M608	ctp:CTRG_01289
C5MHC4	ctp:CTRG_05478
C5MDW9	ctp:CTRG_03871
G3AG09	spaa:SPAPADRAFT_133205
C5M481	ctp:CTRG_00870
C5MGF5	ctp:CTRG_05148
C5MJ39	ctp:CTRG_06082
C5M800	ctp:CTRG_02522
C5M211	ctp:CTRG_00100
C5M5N8	ctp:CTRG_01168
C5M7Y6	ctp:CTRG_02508
C5M206	ctp:CTRG_00095
C5M3G2	ctp:CTRG_00601
C5MFV5	ctp:CTRG_04948
C5MAE2	ctp:CTRG_03034
C5M9X1	ctp:CTRG_02283
C5MI60	ctp:CTRG_05753
C5MDY0	ctp:CTRG_03882
C5MHH9	ctp:CTRG_05533
C5M445	ctp:CTRG_00834
C5MD87	ctp:CTRG_04188
C5MGH3	ctp:CTRG_05166
C5MC42	ctp:CTRG_03634
C5MF42	ctp:CTRG_04685
C5M6D0	ctp:CTRG_01411
C5MJ56	ctp:CTRG_06099
C5MJH8	ctp:CTRG_06221
C5M454	ctp:CTRG_00843
C5M8H6	ctp:CTRG_02698
C5M5V1	ctp:CTRG_01232
C5MGD7	ctp:CTRG_05130
C5MJL2	ctp:CTRG_06255
C5MFZ2	ctp:CTRG_04985
C5M3K1	ctp:CTRG_00640
C5MJH6	ctp:CTRG_06219
C5M8W6	ctp:CTRG_02838
C5M593	ctp:CTRG_02071
C5MJ57	ctp:CTRG_06100
C5M9W9	ctp:CTRG_02281
C5MB60	ctp:CTRG_03302
C5MDF9	ctp:CTRG_04260
C5M546	ctp:CTRG_02024
C5MDR8	ctp:CTRG_03830
C5MDR8	ctp:CTRG_03820
C5M5Y9	ctp:CTRG_01270
C5MD32	ctp:CTRG_04133
C5MB61	ctp:CTRG_03303
C5MHC7	ctp:CTRG_05481
C5M5Z0	ctp:CTRG_01271
C5M8N8	ctp:CTRG_02760
C5MJB5	ctp:CTRG_06158
C5M486	ctp:CTRG_00875
C5M651	ctp:CTRG_01332
C5M4P8	ctp:CTRG_01038
C5MBN9	ctp:CTRG_03481
C5MD30	ctp:CTRG_04131
C5M973	ctp:CTRG_02945
C5M8I8	ctp:CTRG_02710
C5MIX0	ctp:CTRG_06013
C5M4Q0	ctp:CTRG_01040
C5MJ38	ctp:CTRG_06081
C5M925	ctp:CTRG_02897
C5M893	ctp:CTRG_02615
C5M3D1	ctp:CTRG_00570
C5MJK0	ctp:CTRG_06243
C5MFC0	ctp:CTRG_04763
C5ME66	ctp:CTRG_04358
C5M7Z3	ctp:CTRG_02515
C5MAT7	ctp:CTRG_03179
C5M8E8	ctp:CTRG_02670
B9WJS6	cdu:CD36_73100
C5MFA2	ctp:CTRG_04745
C5M1X4	ctp:CTRG_00063
C5M422	ctp:CTRG_00811
C5M3B4	ctp:CTRG_00553
C5M8I4	ctp:CTRG_02706
C5MA14	ctp:CTRG_02326
C5M4G8	ctp:CTRG_00958
C5MAW3	ctp:CTRG_03205
C5MGK4	ctp:CTRG_05197
C5MB55	ctp:CTRG_03297
C5M8T2	ctp:CTRG_02804
A5DVB2	lel:LELG_01298
C5M690	ctp:CTRG_01371
C5MIV4	ctp:CTRG_05997
C5MHI0	ctp:CTRG_05534
C5MB57	ctp:CTRG_03299
C5M3T9	ctp:CTRG_00728
C5MIP1	ctp:CTRG_05934
C5MCL0	ctp:CTRG_03961
C5MD29	ctp:CTRG_04130
C5M9X0	ctp:CTRG_02282
C5M8B0	ctp:CTRG_02632
C5MGW5	ctp:CTRG_05319
C5M8F7	ctp:CTRG_02679
K4AF90	sita:101780920
K3ZA87	sita:101753623
A0A0Q3RM98	bdi:100829437
C5MB95	ctp:CTRG_03337
C5MBV1	ctp:CTRG_03543
C5M6F9	ctp:CTRG_01440
C5M7F6	ctp:CTRG_01788
A3LZU3	pic:PICST_85570
C5MB56	ctp:CTRG_03298
K3YFV3	sita:101752753
C5M623	ctp:CTRG_01304
C5MFI2	ctp:CTRG_04825
C5MCS1	ctp:CTRG_04022
C5MHE6	ctp:CTRG_05500
C5M2G0	ctp:CTRG_00249
C5M2E4	ctp:CTRG_00233
K3Z4R4	sita:101754852
C5MD86	ctp:CTRG_04187
C5MJ36	ctp:CTRG_06079
C5M738	ctp:CTRG_01670
K3YSZ3	sita:101758685
C5M8Y1	ctp:CTRG_02853
C5M2R6	ctp:CTRG_00355
A5DZT8	lel:LELG_02875
C5MHJ0	ctp:CTRG_05544
K4A708	sita:101755406
C5MAN3	ctp:CTRG_03125
C5MES8	ctp:CTRG_04571
C5MGG2	ctp:CTRG_05155
C5M702	ctp:CTRG_01633
C5MA25	ctp:CTRG_02337
A5DJJ1	pgu:PGUG_03442
C5MFZ1	ctp:CTRG_04984
C5MC84	ctp:CTRG_03676
C5M678	ctp:CTRG_01359
C5M8C5	ctp:CTRG_02647
B9WEG3	cdu:CD36_85760
C5M2V0	ctp:CTRG_00389
C5M348	ctp:CTRG_00487
C5M5N4	ctp:CTRG_01164
G3B811	cten:CANTEDRAFT_95213
C5M5U3	ctp:CTRG_01224
C5M8W4	ctp:CTRG_02836
C5MIP0	ctp:CTRG_05933
K3ZIT8	sita:101772107
C5MB64	ctp:CTRG_03306
C5MGB7	ctp:CTRG_05110
C5MC91	ctp:CTRG_03683
C5MB53	ctp:CTRG_03295
K4AIK4	sita:101771233
C5M6I9	ctp:CTRG_01470
C5MI53	ctp:CTRG_05746
K3Z7C7	sita:101777816
K3Z4S7	sita:101753370
C5M996	ctp:CTRG_02968
C5MFI9	ctp:CTRG_04832
C5M9K7	ctp:CTRG_02169
C5MDP5	ctp:CTRG_03797
C5MDX0	ctp:CTRG_03872
C5M395	ctp:CTRG_00534
C5MH41	ctp:CTRG_05395
K4ABQ7	sita:101755675
K3ZAH6	sita:101778622
C5M3G1	ctp:CTRG_00600
C5M801	ctp:CTRG_02523
C5M2Z1	ctp:CTRG_00430
C5M6R0	ctp:CTRG_01541
C5M920	ctp:CTRG_02892
C5M224	ctp:CTRG_00113
C5MDR9	ctp:CTRG_03821
C5M8Y4	ctp:CTRG_02856
C5M4W3	ctp:CTRG_01941
C5M5S5	ctp:CTRG_01205
C5ME36	ctp:CTRG_04328
K3YTH5	sita:101773285
K4ACH9	sita:101764750
C5M584	ctp:CTRG_02062
C5M4Q1	ctp:CTRG_01041
C5M8W8	ctp:CTRG_02840
C5ME93	ctp:CTRG_04385
C5M7Y4	ctp:CTRG_02506
C5MJH9	ctp:CTRG_06222
B9WE03	cdu:CD36_84000
K4AED9	sita:101766913
K3YCI3	sita:101774143
K3XV33	sita:101752998
C5M986	ctp:CTRG_02958
C5MHS6	ctp:CTRG_05619
C5MI44	ctp:CTRG_05737
C5M6V8	ctp:CTRG_01589
Q49HD7	zma:732734
C5M3I1	ctp:CTRG_00620
K4A849	sita:101786582
K3YV35	sita:101764910
C5M5X9	ctp:CTRG_01260
C5M9S1	ctp:CTRG_02233
C5MDN4	ctp:CTRG_03786
K3XDZ0	sita:101766656
C5MCV5	ctp:CTRG_04056
C5MG51	ctp:CTRG_05044
C5MFX4	ctp:CTRG_04967
K3XYM4	sita:101772953
C5M9A8	ctp:CTRG_02980
C5M8H7	ctp:CTRG_02699
C5MBI5	ctp:CTRG_03427
C5MCK8	ctp:CTRG_03959
A5DCX1	pgu:PGUG_01126
C5MHC3	ctp:CTRG_05477
C5M995	ctp:CTRG_02967
A5DDX9	pgu:PGUG_01480
C5M1R2	ctp:CTRG_00001
C5M4U8	ctp:CTRG_01926
C5M4I6	ctp:CTRG_00976
C5M4H8	ctp:CTRG_00968
C5M4B2	ctp:CTRG_00902
C5MDN9	ctp:CTRG_03791
K3XJ16	sita:101777316
C5MCQ1	ctp:CTRG_04002
C5MAW6	ctp:CTRG_03208
A5E235	lel:LELG_03672
C5M7V3	ctp:CTRG_02475
C5MBW3	ctp:CTRG_03555
C5ME85	ctp:CTRG_04377
C5M492	ctp:CTRG_00881
C5M9M6	ctp:CTRG_02188
C5M5H9	ctp:CTRG_01109
C5MFA4	ctp:CTRG_04747
K3Z3D8	sita:101765233
C5MIY1	ctp:CTRG_06024
K3Y7H9	sita:101767666
Q5AJD9	cal:CaO19.1652
Q5AJD9	cal:CaO19.9221
C5MF50	ctp:CTRG_04693
C5M545	ctp:CTRG_02023
K3XI36	sita:101756518
C5MCW2	ctp:CTRG_04063
C5M975	ctp:CTRG_02947
C5MAW2	ctp:CTRG_03204
K3XY32	sita:101782412
K3YS67	sita:101780184
K4AJD2	sita:101779081
C5M4A0	ctp:CTRG_00890
C5MGI1	ctp:CTRG_05174
C5MG46	ctp:CTRG_05039
C5MEX2	ctp:CTRG_04615
C5MBL9	ctp:CTRG_03461
C5MBM9	ctp:CTRG_03471
K4ADR5	sita:101780258
K3ZRQ0	sita:101769816
C5MJ13	ctp:CTRG_06056
C5MFU3	ctp:CTRG_04936
C5M789	ctp:CTRG_01721
C5M7Z4	ctp:CTRG_02516
Q6YXZ7	osa:4328251
C5M8T5	ctp:CTRG_02807
C5MCA5	ctp:CTRG_03697
K3ZQ20	sita:101769688
K3XEP4	sita:101752864
K3Y6X6	sita:101753055
K3XVG9	sita:101772949
K3Y7V6	sita:101755077
C5MFT4	ctp:CTRG_04927
I1GS26	bdi:100826913
K3Y5I5	sita:101772896
K3XHS1	sita:106804318
V2X6I6	mrr:Moror_16215
K3ZHI8	sita:101770641
K4AGT3	sita:101768660
K3XTE5	sita:101756797
C5YJH7	sbi:SORBI_07g007730
B9W6J0	cdu:CD36_00320
C5M7H4	ctp:CTRG_01806
C5XWN3	sbi:SORBI_04g038070
K4A593	sita:101762554
K4A968	sita:101754873
C5M6L0	ctp:CTRG_01491
K3XUY7	sita:101786455
C5MFK3	ctp:CTRG_04846
C5M5S2	ctp:CTRG_01202
C5M672	ctp:CTRG_01353
G3AVU1	spaa:SPAPADRAFT_63610
C5MD55	ctp:CTRG_04156
C0HFL0	zma:100304421
C5MC71	ctp:CTRG_03663
C5MGG9	ctp:CTRG_05162
C5MDF0	ctp:CTRG_04251
C5M9G0	ctp:CTRG_03032
C5M804	ctp:CTRG_02526
K3ZQ97	sita:101786645
C5M3J9	ctp:CTRG_00638
C5MDF1	ctp:CTRG_04252
C5M854	ctp:CTRG_02576
C5MBT4	ctp:CTRG_03526
K3XEL3	sita:101767615
K3YFV9	sita:101774231
Q8LNH6	osa:4349023
C5MB21	ctp:CTRG_03263
A5DZM4	lel:LELG_02811
C5MDX9	ctp:CTRG_03881
C5MBH8	ctp:CTRG_03420
K3ZIJ3	sita:101772790
C5M9T6	ctp:CTRG_02248
K3ZVA0	sita:101762507
C5MC02	ctp:CTRG_03594
Q7EZD7	osa:4342198
C5MBN6	ctp:CTRG_03478
A0A0K1NG59	oto:ADJ79_05350
C5M4C2	ctp:CTRG_00912
C5MFZ8	ctp:CTRG_04991
C5MJ69	ctp:CTRG_06112
K4A8Q2	sita:101767191
K3Y9G5	sita:101764409
C5XAQ2	sbi:SORBI_02g035280
A0A0Q3KNP3	bdi:100843123
C5MI49	ctp:CTRG_05742
C5MJL1	ctp:CTRG_06254
C5M5N5	ctp:CTRG_01165
C5MH40	ctp:CTRG_05394
C5MD33	ctp:CTRG_04134
C5M5E8	ctp:CTRG_01078
C5MFA3	ctp:CTRG_04746
C5MA99	ctp:CTRG_02411
A0A0G3IN71	mye:AB431_18390
C5MAI5	ctp:CTRG_03077
C5M7Y7	ctp:CTRG_02509
K3Z4U4	sita:101777808
C5YCM0	sbi:SORBI_06g001980
C5ME41	ctp:CTRG_04333
C5M4P9	ctp:CTRG_01039
C5M4Z7	ctp:CTRG_01975
Q6BIX9	dha:DEHA2G06776g
C5M3K5	ctp:CTRG_00644
K3XW25	sita:101754332
C5MDP0	ctp:CTRG_03792
C5MGZ0	ctp:CTRG_05344
C5M991	ctp:CTRG_02963
K3ZZ73	sita:101770082
C5M5A5	ctp:CTRG_02083
C5M2V6	ctp:CTRG_00395
C5M7M3	ctp:CTRG_01855
C5MJK7	ctp:CTRG_06250
C5M3E5	ctp:CTRG_00584
C5M5Y1	ctp:CTRG_01262
I1HM71	bdi:100828784
C5MAC9	ctp:CTRG_02441
K4A4U0	sita:101760538
Q67TR8	osa:4347252
K3ZR28	sita:101778058
K3Z4V3	sita:101759298
C5M2K3	ctp:CTRG_00292
C5M367	ctp:CTRG_00506
C5MIS8	ctp:CTRG_05971
C5MBX3	ctp:CTRG_03565
C5MIY3	ctp:CTRG_06026
C5MD48	ctp:CTRG_04149
C5MD66	ctp:CTRG_04167
C5M421	ctp:CTRG_00810
K3YVB0	sita:101756397
K3Y124	sita:101759874
C5MCU0	ctp:CTRG_04041
C5M4E9	ctp:CTRG_00939
A7KVC2	zma:100125659
C5MCG7	ctp:CTRG_03918
C5MDU6	ctp:CTRG_03848
K3Y673	sita:101761287
A0A072VLT6	mtr:MTR_1g078380
B9W7K4	cdu:CD36_04050
K3ZST8	sita:101752498
C5MJI9	ctp:CTRG_06232
K3YJM9	sita:101756270
J3LP14	obr:102720777
K3XV72	sita:101785912
K4AL86	sita:101786570
C5M3M1	ctp:CTRG_00660
C5M3Y2	ctp:CTRG_00771
C5M4U5	ctp:CTRG_01923
K3Y9I9	sita:101758994
C5M773	ctp:CTRG_01705
K3YP71	sita:101772985
C5MC72	ctp:CTRG_03673
C5MC72	ctp:CTRG_03664
K4AET3	sita:101766640
K3ZU47	sita:101769016
C5MF85	ctp:CTRG_04728
C5MCS8	ctp:CTRG_04029
C5MH90	ctp:CTRG_05444
C5M3D3	ctp:CTRG_00572
C5M9C3	ctp:CTRG_02995
C5M9A0	ctp:CTRG_02972
C5M2K2	ctp:CTRG_00291
K3Y678	sita:101776289
A5E094	lel:LELG_03031
C5MI58	ctp:CTRG_05751
K3YG88	sita:101760451
C5M8S0	ctp:CTRG_02792
C5MFR6	ctp:CTRG_04909
Q6K949	osa:4330001
K3ZNI6	sita:101782649
D3GVC7	elo:EC042_0539
K3ZHT9	sita:101777664
K3Z3F1	sita:101780497
C5MGH0	ctp:CTRG_05163
